,FM_defect4ml053_faulty
MM_defect4ml053_change_activation_function_mutated0_MP_softplus_2,0.3264 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_softplus_4,0.1816 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_softplus_6,0.1280 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_softplus_8,0.1238 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_softsign_11,0.0946 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_softsign_12,0.4088 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_softsign_2,0.1138 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_softsign_4,0.1433 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_softsign_6,0.1419 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_softsign_8,0.2101 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_tanh_11,0.1516 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_tanh_12,0.4140 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_tanh_2,0.0815 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_tanh_4,0.2806 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_tanh_6,0.1929 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_tanh_8,0.5308 (reliable)
MM_defect4ml053_change_batch_size_mutated0_MP_100_100,0.0865 (reliable)
MM_defect4ml053_change_batch_size_mutated0_MP_400_400,0.2658 (reliable)
MM_defect4ml053_change_batch_size_mutated0_MP_50_50,0.0593 (reliable)
MM_defect4ml053_change_batch_size_mutated0_MP_800_800,0.4805 (reliable)
MM_defect4ml053_change_epochs_mutated0_MP_1,0.5753 (unreliable)
MM_defect4ml053_change_epochs_mutated0_MP_2,0.3382 (reliable)
MM_defect4ml053_change_epochs_mutated0_MP_3,0.2014 (reliable)
MM_defect4ml053_change_epochs_mutated0_MP_4,0.1885 (reliable)
MM_defect4ml053_change_label_mutated0_MP_100,0.1022 (reliable)
MM_defect4ml053_change_label_mutated0_MP_25.0,0.1645 (reliable)
MM_defect4ml053_change_label_mutated0_MP_28.12,0.1501 (reliable)
MM_defect4ml053_change_label_mutated0_MP_31.25,0.1530 (reliable)
MM_defect4ml053_change_label_mutated0_MP_37.5,0.1324 (reliable)
MM_defect4ml053_change_label_mutated0_MP_50.0,0.1464 (reliable)
MM_defect4ml053_change_label_mutated0_MP_62.5,0.1747 (reliable)
MM_defect4ml053_change_label_mutated0_MP_68.75,0.1449 (reliable)
MM_defect4ml053_change_label_mutated0_MP_71.88,0.1424 (reliable)
MM_defect4ml053_change_label_mutated0_MP_75.0,0.1587 (reliable)
MM_defect4ml053_change_label_mutated0_MP_78.12,0.1314 (reliable)
MM_defect4ml053_change_label_mutated0_MP_81.25,0.1719 (reliable)
MM_defect4ml053_change_label_mutated0_MP_87.5,0.1372 (reliable)
