,FM_deeplocalize015_faulty
MM_deeplocalize015_change_epochs_mutated0_MP_8,0.0069 (reliable)
MM_deeplocalize015_change_label_mutated0_MP_100,0.1327 (reliable)
MM_deeplocalize015_change_label_mutated0_MP_12.5,0.0074 (reliable)
MM_deeplocalize015_change_label_mutated0_MP_15.62,0.0088 (reliable)
MM_deeplocalize015_change_label_mutated0_MP_18.75,0.0087 (reliable)
MM_deeplocalize015_change_label_mutated0_MP_25.0,0.0108 (reliable)
MM_deeplocalize015_change_label_mutated0_MP_28.12,0.0090 (reliable)
MM_deeplocalize015_change_label_mutated0_MP_31.25,0.0091 (reliable)
MM_deeplocalize015_change_label_mutated0_MP_37.5,0.0080 (reliable)
MM_deeplocalize015_change_label_mutated0_MP_50.0,0.0094 (reliable)
MM_deeplocalize015_change_learning_rate_mutated0_MP_False_0.0001,0.0078 (reliable)
MM_deeplocalize015_change_learning_rate_mutated0_MP_False_0.0002,0.0069 (reliable)
MM_deeplocalize015_change_learning_rate_mutated0_MP_False_0.0003,0.0068 (reliable)
MM_deeplocalize015_change_learning_rate_mutated0_MP_False_0.0006,0.0063 (reliable)
MM_deeplocalize015_change_loss_function_mutated0_MP_binary_crossentropy,0.0048 (reliable)
MM_deeplocalize015_change_loss_function_mutated0_MP_categorical_hinge,0.0145 (reliable)
MM_deeplocalize015_change_loss_function_mutated0_MP_hinge,0.0386 (reliable)
MM_deeplocalize015_change_loss_function_mutated0_MP_huber_loss,0.0096 (reliable)
MM_deeplocalize015_change_loss_function_mutated0_MP_kullback_leibler_divergence,0.0068 (reliable)
MM_deeplocalize015_change_loss_function_mutated0_MP_logcosh,0.0102 (reliable)
MM_deeplocalize015_change_loss_function_mutated0_MP_mean_absolute_error,0.0581 (reliable)
MM_deeplocalize015_change_loss_function_mutated0_MP_mean_absolute_percentage_error,0.0398 (reliable)
MM_deeplocalize015_change_loss_function_mutated0_MP_mean_squared_error,0.0091 (reliable)
MM_deeplocalize015_change_loss_function_mutated0_MP_mean_squared_logarithmic_error,0.0105 (reliable)
MM_deeplocalize015_change_loss_function_mutated0_MP_poisson,0.0078 (reliable)
MM_deeplocalize015_change_loss_function_mutated0_MP_squared_hinge,0.0164 (reliable)
MM_deeplocalize015_change_optimisation_function_mutated0_MP_adadelta,0.1376 (reliable)
MM_deeplocalize015_change_optimisation_function_mutated0_MP_adagrad,0.0392 (reliable)
MM_deeplocalize015_change_optimisation_function_mutated0_MP_adamax,0.0057 (reliable)
MM_deeplocalize015_change_optimisation_function_mutated0_MP_nadam,0.0072 (reliable)
MM_deeplocalize015_change_optimisation_function_mutated0_MP_rmsprop,0.0058 (reliable)
MM_deeplocalize015_change_optimisation_function_mutated0_MP_sgd,0.0088 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_constant_1,0.7879 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_constant_3,0.7879 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_constant_6,0.7879 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_constant_7,0.0070 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_glorot_normal_1,0.0075 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_glorot_normal_3,0.0074 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_glorot_normal_6,0.0085 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_glorot_normal_7,0.0084 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_glorot_uniform_1,0.0073 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_glorot_uniform_3,0.0065 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_glorot_uniform_6,0.0067 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_glorot_uniform_7,0.0077 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_he_normal_1,0.0087 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_he_normal_3,0.0075 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_he_normal_6,0.0065 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_he_normal_7,0.0070 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_he_uniform_1,0.0074 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_he_uniform_3,0.0073 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_he_uniform_6,0.0077 (reliable)
