,FM_cleanml006_faulty
MM_cleanml006_change_loss_function_mutated0_MP_poisson,0.4360 (unreliable)
MM_cleanml006_change_loss_function_mutated0_MP_squared_hinge,0.1044 (reliable)
MM_cleanml006_change_optimisation_function_mutated0_MP_adadelta,0.1616 (reliable)
MM_cleanml006_change_optimisation_function_mutated0_MP_adagrad,0.1989 (reliable)
MM_cleanml006_change_optimisation_function_mutated0_MP_adamax,0.4293 (unreliable)
MM_cleanml006_change_optimisation_function_mutated0_MP_nadam,0.4325 (unreliable)
MM_cleanml006_change_optimisation_function_mutated0_MP_rmsprop,0.4214 (reliable)
MM_cleanml006_change_optimisation_function_mutated0_MP_sgd,0.2624 (reliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_constant_1,0.1239 (reliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_constant_2,0.4464 (unreliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_glorot_normal_1,0.4585 (unreliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_glorot_normal_2,0.4395 (unreliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_glorot_uniform_1,0.4202 (unreliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_glorot_uniform_2,0.3950 (unreliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_he_normal_1,0.4361 (unreliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_he_normal_2,0.4393 (unreliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_he_uniform_1,0.4424 (unreliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_he_uniform_2,0.3865 (unreliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_identity_1,0.4374 (unreliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_identity_2,0.3953 (reliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_lecun_normal_1,0.4356 (unreliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_lecun_normal_2,0.4175 (unreliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_lecun_uniform_1,0.3862 (reliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_lecun_uniform_2,0.4259 (unreliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_ones_1,0.1862 (reliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_ones_2,0.3124 (reliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_orthogonal_1,0.4679 (unreliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_orthogonal_2,0.4714 (unreliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_random_normal_1,0.4496 (unreliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_random_normal_2,0.4586 (unreliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_random_uniform_1,0.4185 (unreliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_random_uniform_2,0.4647 (unreliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_truncated_normal_1,0.4267 (unreliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_truncated_normal_2,0.4626 (unreliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_variance_scaling_1,0.3950 (reliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_variance_scaling_2,0.4170 (unreliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_zeros_1,0.1239 (reliable)
MM_cleanml006_change_weights_initialisation_mutated0_MP_zeros_2,0.4352 (unreliable)
MM_cleanml006_delete_training_data_mutated0_MP_12.38,0.3588 (unreliable)
MM_cleanml006_delete_training_data_mutated0_MP_18.57,0.3782 (unreliable)
