,FM_defect4ml011_faulty
MM_defect4ml011_original0_GF_0.01_1,0.3048 (reliable)
MM_defect4ml011_original0_LD_0.01_1,0.2044 (reliable)
MM_defect4ml011_original0_LR_0.01_1,0.3257 (reliable)
MM_defect4ml011_original0_NAI_0.01_1,0.3105 (reliable)
MM_defect4ml011_original0_NEB_0.01_1,0.2905 (reliable)
MM_defect4ml011_original0_NS_0.01_1,0.3139 (reliable)
MM_defect4ml011_original0_WS_0.01_1,0.3631 (reliable)
MM_defect4ml011_original1_GF_0.01_1,0.3190 (reliable)
MM_defect4ml011_original1_LA_0.01_1,0.2032 (reliable)
MM_defect4ml011_original1_LD_0.01_1,0.1961 (reliable)
MM_defect4ml011_original1_LR_0.01_1,0.3031 (reliable)
MM_defect4ml011_original1_NAI_0.01_1,0.3419 (reliable)
MM_defect4ml011_original1_NEB_0.01_1,0.3449 (reliable)
MM_defect4ml011_original1_NS_0.01_1,0.2981 (reliable)
MM_defect4ml011_original1_WS_0.01_1,0.2969 (reliable)
MM_defect4ml011_original2_GF_0.01_1,0.2660 (reliable)
MM_defect4ml011_original2_LA_0.01_1,0.1850 (reliable)
MM_defect4ml011_original2_LD_0.01_1,0.1786 (reliable)
MM_defect4ml011_original2_LR_0.01_1,0.2995 (reliable)
MM_defect4ml011_original2_NAI_0.01_1,0.2980 (reliable)
MM_defect4ml011_original2_NEB_0.01_1,0.3164 (reliable)
MM_defect4ml011_original2_NS_0.01_1,0.2928 (reliable)
MM_defect4ml011_original2_WS_0.01_1,0.3261 (reliable)
MM_defect4ml011_original3_GF_0.01_1,0.2698 (reliable)
MM_defect4ml011_original3_LD_0.01_1,0.2151 (reliable)
MM_defect4ml011_original3_LR_0.01_1,0.2532 (reliable)
MM_defect4ml011_original3_NAI_0.01_1,0.2957 (reliable)
MM_defect4ml011_original3_NEB_0.01_1,0.2587 (reliable)
MM_defect4ml011_original3_NS_0.01_1,0.3386 (reliable)
MM_defect4ml011_original3_WS_0.01_1,0.3588 (reliable)
MM_defect4ml011_original4_GF_0.01_1,0.3626 (reliable)
MM_defect4ml011_original4_LA_0.01_1,0.2502 (reliable)
MM_defect4ml011_original4_LD_0.01_1,0.2502 (reliable)
MM_defect4ml011_original4_LR_0.01_1,0.3200 (reliable)
MM_defect4ml011_original4_NAI_0.01_1,0.3286 (reliable)
MM_defect4ml011_original4_NEB_0.01_1,0.2883 (reliable)
MM_defect4ml011_original4_NS_0.01_1,0.2875 (reliable)
MM_defect4ml011_original4_WS_0.01_1,0.3151 (reliable)
