,FM_deeplocalize021_faulty
MM_deeplocalize021_original0_GF_0.01_1,0.1092 (reliable)
MM_deeplocalize021_original0_LD_0.01_1,0.1028 (reliable)
MM_deeplocalize021_original0_LR_0.01_1,0.0614 (reliable)
MM_deeplocalize021_original0_NAI_0.01_1,0.2137 (reliable)
MM_deeplocalize021_original0_NEB_0.01_1,0.1028 (reliable)
MM_deeplocalize021_original0_NS_0.01_1,0.0945 (reliable)
MM_deeplocalize021_original0_WS_0.01_1,0.0920 (reliable)
MM_deeplocalize021_original1_GF_0.01_1,0.0985 (reliable)
MM_deeplocalize021_original1_LA_0.01_1,0.0958 (reliable)
MM_deeplocalize021_original1_LD_0.01_1,0.0934 (reliable)
MM_deeplocalize021_original1_LR_0.01_1,0.1995 (reliable)
MM_deeplocalize021_original1_NAI_0.01_1,0.0965 (reliable)
MM_deeplocalize021_original1_NEB_0.01_1,0.0980 (reliable)
MM_deeplocalize021_original1_NS_0.01_1,0.0909 (reliable)
MM_deeplocalize021_original1_WS_0.01_1,0.0934 (reliable)
MM_deeplocalize021_original2_GF_0.01_1,0.0594 (reliable)
MM_deeplocalize021_original2_LD_0.01_1,0.0698 (reliable)
MM_deeplocalize021_original2_LR_0.01_1,0.2331 (reliable)
MM_deeplocalize021_original2_NAI_0.01_1,0.1561 (reliable)
MM_deeplocalize021_original2_NEB_0.01_1,0.0698 (reliable)
MM_deeplocalize021_original2_NS_0.01_1,0.0735 (reliable)
MM_deeplocalize021_original2_WS_0.01_1,0.0877 (reliable)
MM_deeplocalize021_original3_GF_0.01_1,0.1186 (reliable)
MM_deeplocalize021_original3_LA_0.01_1,0.1002 (reliable)
MM_deeplocalize021_original3_LD_0.01_1,0.1044 (reliable)
MM_deeplocalize021_original3_LR_0.01_1,0.1187 (reliable)
MM_deeplocalize021_original3_NAI_0.01_1,0.1160 (reliable)
MM_deeplocalize021_original3_NEB_0.01_1,0.0930 (reliable)
MM_deeplocalize021_original3_NS_0.01_1,0.1160 (reliable)
MM_deeplocalize021_original3_WS_0.01_1,0.1021 (reliable)
MM_deeplocalize021_original4_GF_0.01_1,0.1035 (reliable)
MM_deeplocalize021_original4_LA_0.01_1,0.1144 (reliable)
MM_deeplocalize021_original4_LD_0.01_1,0.1114 (reliable)
MM_deeplocalize021_original4_LR_0.01_1,0.1807 (reliable)
MM_deeplocalize021_original4_NAI_0.01_1,0.1855 (reliable)
MM_deeplocalize021_original4_NEB_0.01_1,0.1382 (reliable)
MM_deeplocalize021_original4_NS_0.01_1,0.1159 (reliable)
MM_deeplocalize021_original4_WS_0.01_1,0.1086 (reliable)
