,FM_defect4ml053_faulty
MM_defect4ml053_original0_GF_0.01_1,0.1350 (reliable)
MM_defect4ml053_original0_LA_0.01_1,0.0620 (reliable)
MM_defect4ml053_original0_NAI_0.01_1,0.2077 (reliable)
MM_defect4ml053_original0_NEB_0.01_1,0.0844 (reliable)
MM_defect4ml053_original0_NS_0.01_1,0.1279 (reliable)
MM_defect4ml053_original0_WS_0.01_1,0.1554 (reliable)
MM_defect4ml053_original1_GF_0.01_1,0.1963 (reliable)
MM_defect4ml053_original1_LA_0.01_1,0.1149 (reliable)
MM_defect4ml053_original1_NAI_0.01_1,0.2679 (reliable)
MM_defect4ml053_original1_NEB_0.01_1,0.1922 (reliable)
MM_defect4ml053_original1_NS_0.01_1,0.2594 (reliable)
MM_defect4ml053_original1_WS_0.01_1,0.2131 (reliable)
MM_defect4ml053_original2_GF_0.01_1,0.1201 (reliable)
MM_defect4ml053_original2_LA_0.01_1,0.0787 (reliable)
MM_defect4ml053_original2_NAI_0.01_1,0.2097 (reliable)
MM_defect4ml053_original2_NEB_0.01_1,0.1250 (reliable)
MM_defect4ml053_original2_NS_0.01_1,0.1687 (reliable)
MM_defect4ml053_original2_WS_0.01_1,0.1913 (reliable)
MM_defect4ml053_original3_GF_0.01_1,0.1061 (reliable)
MM_defect4ml053_original3_LA_0.01_1,0.0677 (reliable)
MM_defect4ml053_original3_NAI_0.01_1,0.2029 (reliable)
MM_defect4ml053_original3_NEB_0.01_1,0.1873 (reliable)
MM_defect4ml053_original3_NS_0.01_1,0.2244 (reliable)
MM_defect4ml053_original3_WS_0.01_1,0.1932 (reliable)
MM_defect4ml053_original4_GF_0.01_1,0.0673 (reliable)
MM_defect4ml053_original4_LA_0.01_1,0.0488 (reliable)
MM_defect4ml053_original4_NAI_0.01_1,0.2097 (reliable)
MM_defect4ml053_original4_NEB_0.01_1,0.1534 (reliable)
MM_defect4ml053_original4_NS_0.01_1,0.1287 (reliable)
MM_defect4ml053_original4_WS_0.01_1,0.0759 (reliable)
