,FM_deepfd015_faulty
MM_deepfd015_add_activation_function_mutated0_MP_None_1,0.0108 (reliable)
MM_deepfd015_add_activation_function_mutated0_MP_None_3,0.0200 (reliable)
MM_deepfd015_add_noise_mutated0_MP_100,0.0592 (reliable)
MM_deepfd015_add_noise_mutated0_MP_25.0,0.0188 (reliable)
MM_deepfd015_add_noise_mutated0_MP_37.5,0.0305 (reliable)
MM_deepfd015_add_noise_mutated0_MP_43.75,0.0287 (reliable)
MM_deepfd015_add_noise_mutated0_MP_46.88,0.0320 (reliable)
MM_deepfd015_add_noise_mutated0_MP_50.0,0.0317 (reliable)
MM_deepfd015_add_noise_mutated0_MP_75.0,0.0448 (reliable)
MM_deepfd015_add_noise_mutated0_MP_81.25,0.0592 (reliable)
MM_deepfd015_add_noise_mutated0_MP_84.38,0.0444 (reliable)
MM_deepfd015_add_noise_mutated0_MP_87.5,0.0480 (reliable)
MM_deepfd015_add_weights_regularisation_mutated0_MP_l1_1,0.0071 (reliable)
MM_deepfd015_add_weights_regularisation_mutated0_MP_l1_3,0.0152 (reliable)
MM_deepfd015_add_weights_regularisation_mutated0_MP_l1_6,0.0249 (reliable)
MM_deepfd015_add_weights_regularisation_mutated0_MP_l1_7,0.0078 (reliable)
MM_deepfd015_add_weights_regularisation_mutated0_MP_l1_l2_1,0.0071 (reliable)
MM_deepfd015_add_weights_regularisation_mutated0_MP_l1_l2_3,0.0126 (reliable)
MM_deepfd015_add_weights_regularisation_mutated0_MP_l1_l2_6,0.0265 (reliable)
MM_deepfd015_add_weights_regularisation_mutated0_MP_l1_l2_7,0.0072 (reliable)
MM_deepfd015_add_weights_regularisation_mutated0_MP_l2_1,0.0052 (reliable)
MM_deepfd015_add_weights_regularisation_mutated0_MP_l2_3,0.0081 (reliable)
MM_deepfd015_add_weights_regularisation_mutated0_MP_l2_6,0.0140 (reliable)
MM_deepfd015_add_weights_regularisation_mutated0_MP_l2_7,0.0052 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_elu_6,0.0155 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_elu_7,0.7594 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_exponential_6,0.1189 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_exponential_7,0.0060 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_hard_sigmoid_6,0.0048 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_hard_sigmoid_7,0.9998 (unreliable)
MM_deepfd015_change_activation_function_mutated0_MP_linear_6,0.0151 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_linear_7,0.6691 (unreliable)
MM_deepfd015_change_activation_function_mutated0_MP_relu_6,0.0087 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_relu_7,0.9264 (unreliable)
MM_deepfd015_change_activation_function_mutated0_MP_selu_6,0.0200 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_selu_7,0.7350 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_sigmoid_6,0.0052 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_sigmoid_7,0.0224 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_softmax_6,0.0521 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_softmax_7,0.0054 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_softplus_6,0.0170 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_softplus_7,0.0058 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_softsign_6,0.0050 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_softsign_7,0.7030 (unreliable)
MM_deepfd015_change_activation_function_mutated0_MP_tanh_6,0.0046 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_tanh_7,0.8085 (reliable)
MM_deepfd015_change_batch_size_mutated0_MP_100_100,0.0424 (reliable)
MM_deepfd015_change_batch_size_mutated0_MP_400_400,0.0066 (reliable)
MM_deepfd015_change_batch_size_mutated0_MP_50_50,0.1060 (reliable)
MM_deepfd015_change_batch_size_mutated0_MP_800_800,0.0062 (reliable)
MM_deepfd015_change_epochs_mutated0_MP_1,0.0152 (reliable)
MM_deepfd015_change_epochs_mutated0_MP_6,0.0067 (reliable)
MM_deepfd015_change_epochs_mutated0_MP_7,0.0073 (reliable)
MM_deepfd015_change_epochs_mutated0_MP_8,0.0097 (reliable)
MM_deepfd015_change_label_mutated0_MP_100,0.1348 (reliable)
MM_deepfd015_change_label_mutated0_MP_12.5,0.0066 (reliable)
MM_deepfd015_change_label_mutated0_MP_18.75,0.0063 (reliable)
MM_deepfd015_change_label_mutated0_MP_21.88,0.0071 (reliable)
MM_deepfd015_change_label_mutated0_MP_25.0,0.0068 (reliable)
MM_deepfd015_change_label_mutated0_MP_28.12,0.0070 (reliable)
MM_deepfd015_change_label_mutated0_MP_31.25,0.0074 (reliable)
MM_deepfd015_change_label_mutated0_MP_37.5,0.0074 (reliable)
MM_deepfd015_change_label_mutated0_MP_50.0,0.0089 (reliable)
MM_deepfd015_change_learning_rate_mutated0_MP_False_0.0001,0.0092 (reliable)
MM_deepfd015_change_learning_rate_mutated0_MP_False_0.0003,0.0065 (reliable)
MM_deepfd015_change_learning_rate_mutated0_MP_False_0.0004,0.0066 (reliable)
MM_deepfd015_change_learning_rate_mutated0_MP_False_0.0005,0.0061 (reliable)
MM_deepfd015_change_learning_rate_mutated0_MP_False_0.0006,0.0072 (reliable)
MM_deepfd015_change_learning_rate_mutated0_MP_False_0.0007,0.0098 (reliable)
MM_deepfd015_change_learning_rate_mutated0_MP_False_0.0008,0.0133 (reliable)
MM_deepfd015_change_loss_function_mutated0_MP_categorical_hinge,0.8186 (reliable)
MM_deepfd015_change_loss_function_mutated0_MP_hinge,0.9935 (unreliable)
MM_deepfd015_change_loss_function_mutated0_MP_huber_loss,0.9917 (unreliable)
MM_deepfd015_change_loss_function_mutated0_MP_kullback_leibler_divergence,0.9884 (unreliable)
MM_deepfd015_change_loss_function_mutated0_MP_logcosh,0.9855 (unreliable)
MM_deepfd015_change_loss_function_mutated0_MP_mean_absolute_error,0.9977 (unreliable)
MM_deepfd015_change_loss_function_mutated0_MP_mean_absolute_percentage_error,0.8366 (reliable)
MM_deepfd015_change_loss_function_mutated0_MP_mean_squared_error,0.9896 (unreliable)
MM_deepfd015_change_loss_function_mutated0_MP_mean_squared_logarithmic_error,0.9883 (unreliable)
MM_deepfd015_change_loss_function_mutated0_MP_poisson,0.9945 (unreliable)
MM_deepfd015_change_loss_function_mutated0_MP_squared_hinge,0.8913 (reliable)
MM_deepfd015_change_optimisation_function_mutated0_MP_adadelta,0.2593 (reliable)
MM_deepfd015_change_optimisation_function_mutated0_MP_adagrad,0.0711 (reliable)
MM_deepfd015_change_optimisation_function_mutated0_MP_adamax,0.0061 (reliable)
MM_deepfd015_change_optimisation_function_mutated0_MP_nadam,0.0228 (reliable)
MM_deepfd015_change_optimisation_function_mutated0_MP_rmsprop,0.0364 (reliable)
MM_deepfd015_change_optimisation_function_mutated0_MP_sgd,0.0266 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_constant_1,0.0229 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_constant_3,0.0315 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_constant_6,0.0271 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_constant_7,0.0066 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_glorot_normal_1,0.0204 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_glorot_normal_3,0.0235 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_glorot_normal_6,0.0175 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_glorot_normal_7,0.0177 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_glorot_uniform_1,0.0234 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_glorot_uniform_3,0.0201 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_glorot_uniform_6,0.0334 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_glorot_uniform_7,0.0290 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_he_normal_1,0.0341 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_he_normal_3,0.0237 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_he_normal_6,0.0180 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_he_normal_7,0.0203 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_he_uniform_1,0.0330 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_he_uniform_3,0.0138 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_he_uniform_6,0.0182 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_he_uniform_7,0.0146 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_identity_6,0.0191 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_lecun_normal_1,0.0311 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_lecun_normal_3,0.0226 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_lecun_normal_6,0.0261 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_lecun_normal_7,0.0144 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_lecun_uniform_1,0.0413 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_lecun_uniform_3,0.0304 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_lecun_uniform_6,0.0191 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_lecun_uniform_7,0.0164 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_ones_1,0.1349 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_ones_3,0.0451 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_ones_6,0.7931 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_ones_7,1.0000 (unreliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_orthogonal_1,0.0208 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_orthogonal_3,0.0151 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_orthogonal_6,0.0289 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_orthogonal_7,0.0121 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_random_normal_1,0.0165 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_random_normal_3,0.0203 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_random_normal_6,0.0124 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_random_normal_7,0.0096 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_random_uniform_1,0.0294 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_random_uniform_3,0.0151 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_random_uniform_6,0.0171 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_random_uniform_7,0.0080 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_truncated_normal_1,0.0256 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_truncated_normal_3,0.0202 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_truncated_normal_6,0.0226 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_truncated_normal_7,0.0127 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_variance_scaling_1,0.0229 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_variance_scaling_3,0.0181 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_variance_scaling_6,0.0243 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_variance_scaling_7,0.0206 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_zeros_1,0.0184 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_zeros_3,0.0259 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_zeros_6,0.0203 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_zeros_7,0.0063 (reliable)
MM_deepfd015_delete_training_data_mutated0_MP_12.38,0.0163 (reliable)
MM_deepfd015_delete_training_data_mutated0_MP_15.48,0.0198 (reliable)
MM_deepfd015_delete_training_data_mutated0_MP_18.57,0.0171 (reliable)
MM_deepfd015_delete_training_data_mutated0_MP_24.75,0.0191 (reliable)
MM_deepfd015_delete_training_data_mutated0_MP_49.5,0.0198 (reliable)
MM_deepfd015_delete_training_data_mutated0_MP_6.19,0.0142 (reliable)
MM_deepfd015_delete_training_data_mutated0_MP_9.29,0.0179 (reliable)
MM_deepfd015_delete_training_data_mutated0_MP_99,0.1409 (reliable)
MM_deepfd015_make_output_classes_overlap_mutated0_MP_100,0.0786 (reliable)
MM_deepfd015_make_output_classes_overlap_mutated0_MP_50.0,0.0098 (reliable)
MM_deepfd015_make_output_classes_overlap_mutated0_MP_56.25,0.0124 (reliable)
MM_deepfd015_make_output_classes_overlap_mutated0_MP_59.38,0.0255 (reliable)
MM_deepfd015_make_output_classes_overlap_mutated0_MP_62.5,0.0145 (reliable)
MM_deepfd015_make_output_classes_overlap_mutated0_MP_75.0,0.0283 (reliable)
MM_deepfd015_remove_activation_function_mutated0_MP_6,0.0134 (reliable)
MM_deepfd015_remove_activation_function_mutated0_MP_7,0.7355 (reliable)
