,FM_defect4ml100_faulty
MM_defect4ml100_GF_0.01_1,0.0229 (reliable)
MM_defect4ml100_GF_0.1_1,0.0774 (reliable)
MM_defect4ml100_GF_0.2_1,0.1505 (reliable)
MM_defect4ml100_GF_0.6_1,0.3204 (reliable)
MM_defect4ml100_GF_1.0_1,0.3899 (reliable)
MM_defect4ml100_LA_0.01_1,0.3655 (reliable)
MM_defect4ml100_NAI_0.01_1,0.0607 (reliable)
MM_defect4ml100_NAI_0.1_1,0.3774 (reliable)
MM_defect4ml100_NAI_0.2_1,0.4587 (reliable)
MM_defect4ml100_NEB_0.01_1,0.0294 (reliable)
MM_defect4ml100_NEB_0.1_1,0.2394 (reliable)
MM_defect4ml100_NEB_0.2_1,0.4524 (unreliable)
MM_defect4ml100_NEB_0.6_1,0.5497 (reliable)
MM_defect4ml100_NS_0.01_1,0.0494 (reliable)
MM_defect4ml100_NS_0.1_1,0.3211 (reliable)
MM_defect4ml100_NS_0.2_1,0.3532 (reliable)
MM_defect4ml100_NS_0.6_1,0.5230 (reliable)
MM_defect4ml100_NS_1.0_1,0.4911 (reliable)
MM_defect4ml100_WS_0.01_1,0.0695 (reliable)
MM_defect4ml100_WS_0.1_1,0.2359 (reliable)
MM_defect4ml100_WS_0.2_1,0.4682 (unreliable)
MM_defect4ml100_WS_0.6_1,0.5369 (reliable)
