,FM_deeplocalize027_faulty
MM_deeplocalize027_GF_0.01_1,0.06542205712821826
MM_deeplocalize027_GF_0.1_1,0.2992357251136938
MM_deeplocalize027_GF_0.2_1,0.36971553345059743
MM_deeplocalize027_GF_0.6_1,0.6193484934283076
MM_deeplocalize027_LA_0.01_1,0.18495803744351194
MM_deeplocalize027_LD_0.01_1,0.0
MM_deeplocalize027_LR_0.01_1,0.0
MM_deeplocalize027_NAI_0.01_1,0.12859866539561488
MM_deeplocalize027_NAI_0.1_1,0.7285451419263371
MM_deeplocalize027_NEB_0.01_1,0.14071042619177032
MM_deeplocalize027_NEB_0.1_1,0.3397042581911891
MM_deeplocalize027_NEB_0.2_1,0.5458459146760741
MM_deeplocalize027_NEB_0.6_1,0.7554056792196139
MM_deeplocalize027_NS_0.01_1,0.107842209819317
MM_deeplocalize027_NS_0.1_1,0.3241017733230533
MM_deeplocalize027_NS_0.2_1,0.621402104639099
MM_deeplocalize027_NS_0.6_1,0.7788712767810485
MM_deeplocalize027_NS_1.0_1,0.8313064525650865
MM_deeplocalize027_WS_0.01_1,0.04739063699155795
MM_deeplocalize027_WS_0.1_1,0.42812268484219884
MM_deeplocalize027_WS_0.2_1,0.5465766042370279
MM_deeplocalize027_WS_0.6_1,0.7887911203128595
