,FM_cleanml007_faulty
MM_cleanml007_add_noise_mutated0_MP_100,0.2192 (reliable)
MM_cleanml007_add_noise_mutated0_MP_50.0,0.1751 (reliable)
MM_cleanml007_add_noise_mutated0_MP_75.0,0.2070 (reliable)
MM_cleanml007_add_noise_mutated0_MP_87.5,0.2132 (reliable)
MM_cleanml007_add_noise_mutated0_MP_93.75,0.2139 (reliable)
MM_cleanml007_add_noise_mutated0_MP_96.88,0.2101 (reliable)
MM_cleanml007_add_weights_regularisation_mutated0_MP_l1_1,0.1844 (reliable)
MM_cleanml007_add_weights_regularisation_mutated0_MP_l1_2,0.1392 (reliable)
MM_cleanml007_add_weights_regularisation_mutated0_MP_l1_l2_1,0.1802 (reliable)
MM_cleanml007_add_weights_regularisation_mutated0_MP_l1_l2_2,0.1448 (reliable)
MM_cleanml007_add_weights_regularisation_mutated0_MP_l2_1,0.1458 (reliable)
MM_cleanml007_add_weights_regularisation_mutated0_MP_l2_2,0.1278 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_elu_1,0.1310 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_elu_2,0.1943 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_exponential_1,0.1848 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_hard_sigmoid_1,0.1529 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_hard_sigmoid_2,0.1499 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_linear_1,0.1812 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_linear_2,0.1855 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_relu_1,0.1277 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_relu_2,0.2154 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_selu_1,0.1430 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_selu_2,0.1925 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_sigmoid_1,0.1376 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_sigmoid_2,0.1306 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_softmax_1,0.1901 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_softmax_2,0.2746 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_softplus_1,0.1133 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_softplus_2,0.1452 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_softsign_1,0.1495 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_softsign_2,0.1834 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_tanh_1,0.1554 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_tanh_2,0.1777 (reliable)
MM_cleanml007_change_batch_size_mutated0_MP_100_100,0.1476 (reliable)
MM_cleanml007_change_batch_size_mutated0_MP_400_400,0.1345 (reliable)
MM_cleanml007_change_batch_size_mutated0_MP_50_50,0.1414 (reliable)
MM_cleanml007_change_batch_size_mutated0_MP_800_800,0.1307 (reliable)
MM_cleanml007_change_epochs_mutated0_MP_1,0.2349 (reliable)
MM_cleanml007_change_epochs_mutated0_MP_100,0.1378 (reliable)
MM_cleanml007_change_epochs_mutated0_MP_150,0.1275 (reliable)
MM_cleanml007_change_epochs_mutated0_MP_175,0.1307 (reliable)
MM_cleanml007_change_epochs_mutated0_MP_178,0.1384 (reliable)
