,FM_deepfd047_faulty
MM_deepfd047_GF_0.01_1,0.0662 (reliable)
MM_deepfd047_GF_0.1_1,0.4186 (reliable)
MM_deepfd047_GF_0.2_1,0.4707 (reliable)
MM_deepfd047_GF_0.6_1,0.4817 (reliable)
MM_deepfd047_GF_1.0_1,0.5048 (unreliable)
MM_deepfd047_LA_0.01_1,0.0769 (reliable)
MM_deepfd047_LR_0.01_1,0.1278 (reliable)
MM_deepfd047_NAI_0.01_1,0.4385 (unreliable)
MM_deepfd047_NAI_0.1_1,0.1534 (reliable)
MM_deepfd047_NEB_0.01_1,0.1421 (reliable)
MM_deepfd047_NEB_0.1_1,0.3726 (unreliable)
MM_deepfd047_NEB_0.2_1,0.2498 (reliable)
MM_deepfd047_NEB_0.6_1,0.1701 (unreliable)
MM_deepfd047_NS_0.01_1,0.0749 (reliable)
MM_deepfd047_NS_0.1_1,0.3027 (reliable)
MM_deepfd047_NS_0.2_1,0.2214 (reliable)
MM_deepfd047_NS_0.6_1,0.1280 (reliable)
MM_deepfd047_NS_1.0_1,0.1191 (reliable)
MM_deepfd047_WS_0.01_1,0.2259 (reliable)
MM_deepfd047_WS_0.1_1,0.3203 (reliable)
MM_deepfd047_WS_0.2_1,0.2301 (reliable)
MM_deepfd047_WS_0.6_1,0.1201 (reliable)
