,FM_cleanml001_faulty
MM_cleanml001_original0_GF_0.01_1,0.0068 (reliable)
MM_cleanml001_original0_LA_0.01_1,0.4429 (reliable)
MM_cleanml001_original0_NAI_0.01_1,0.0135 (reliable)
MM_cleanml001_original0_NEB_0.01_1,0.0110 (reliable)
MM_cleanml001_original0_NS_0.01_1,0.0132 (reliable)
MM_cleanml001_original0_WS_0.01_1,0.0075 (reliable)
MM_cleanml001_original1_GF_0.01_1,0.0086 (reliable)
MM_cleanml001_original1_LA_0.01_1,0.1135 (reliable)
MM_cleanml001_original1_NAI_0.01_1,0.0287 (reliable)
MM_cleanml001_original1_NEB_0.01_1,0.0089 (reliable)
MM_cleanml001_original1_NS_0.01_1,0.0103 (reliable)
MM_cleanml001_original1_WS_0.01_1,0.0082 (reliable)
MM_cleanml001_original2_GF_0.01_1,0.0262 (reliable)
MM_cleanml001_original2_LA_0.01_1,0.0276 (reliable)
MM_cleanml001_original2_NAI_0.01_1,0.0283 (reliable)
MM_cleanml001_original2_NS_0.01_1,0.0264 (reliable)
MM_cleanml001_original2_WS_0.01_1,0.0192 (reliable)
MM_cleanml001_original3_GF_0.01_1,0.0092 (reliable)
MM_cleanml001_original3_LA_0.01_1,0.0231 (reliable)
MM_cleanml001_original3_NAI_0.01_1,0.0179 (reliable)
MM_cleanml001_original3_NEB_0.01_1,0.0146 (reliable)
MM_cleanml001_original3_WS_0.01_1,0.0153 (reliable)
MM_cleanml001_original4_GF_0.01_1,0.0060 (reliable)
MM_cleanml001_original4_LA_0.01_1,0.0334 (reliable)
MM_cleanml001_original4_NAI_0.01_1,0.0169 (reliable)
MM_cleanml001_original4_NEB_0.01_1,0.0127 (reliable)
MM_cleanml001_original4_NS_0.01_1,0.0113 (reliable)
MM_cleanml001_original4_WS_0.01_1,0.0231 (reliable)
