,FM_deeplocalize026_faulty
MM_deeplocalize026_add_noise_mutated0_MP_100,0.1491 (reliable)
MM_deeplocalize026_add_weights_regularisation_mutated0_MP_l1_1,0.0689 (reliable)
MM_deeplocalize026_add_weights_regularisation_mutated0_MP_l1_3,0.2093 (reliable)
MM_deeplocalize026_add_weights_regularisation_mutated0_MP_l1_l2_1,0.0855 (reliable)
MM_deeplocalize026_add_weights_regularisation_mutated0_MP_l1_l2_3,0.0592 (reliable)
MM_deeplocalize026_add_weights_regularisation_mutated0_MP_l2_1,0.0577 (reliable)
MM_deeplocalize026_add_weights_regularisation_mutated0_MP_l2_3,0.0532 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_elu_1,0.2396 (unreliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_elu_2,0.0021 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_elu_3,0.0213 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_exponential_1,0.3892 (unreliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_exponential_2,0.2937 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_exponential_3,1.0000 (unreliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_hard_sigmoid_1,0.1324 (unreliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_hard_sigmoid_2,0.1236 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_hard_sigmoid_3,0.1358 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_linear_1,0.0713 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_linear_2,0.0000 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_linear_3,0.0000 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_relu_1,0.1328 (unreliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_relu_2,0.0000 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_relu_3,0.0055 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_selu_1,0.0389 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_selu_2,0.0063 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_selu_3,0.0180 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_sigmoid_1,0.1324 (unreliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_sigmoid_2,0.0966 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_sigmoid_3,0.2791 (unreliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_softmax_1,0.0000 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_softmax_2,0.0000 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_softmax_3,1.0000 (unreliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_softplus_1,0.1324 (unreliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_softplus_2,0.1320 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_softplus_3,0.4233 (unreliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_softsign_1,0.1797 (unreliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_softsign_2,0.0000 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_softsign_3,0.0000 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_tanh_1,0.1003 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_tanh_2,0.0000 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_tanh_3,0.0000 (reliable)
MM_deeplocalize026_change_batch_size_mutated0_MP_100_100,0.1195 (reliable)
MM_deeplocalize026_change_batch_size_mutated0_MP_400_400,0.1279 (reliable)
MM_deeplocalize026_change_batch_size_mutated0_MP_50_50,0.0276 (reliable)
MM_deeplocalize026_change_batch_size_mutated0_MP_800_800,0.0000 (reliable)
MM_deeplocalize026_change_epochs_mutated0_MP_1,0.7063 (unreliable)
MM_deeplocalize026_change_epochs_mutated0_MP_26,0.2267 (unreliable)
MM_deeplocalize026_change_epochs_mutated0_MP_38,0.3946 (unreliable)
MM_deeplocalize026_change_epochs_mutated0_MP_41,0.2912 (unreliable)
MM_deeplocalize026_change_epochs_mutated0_MP_42,0.2931 (reliable)
MM_deeplocalize026_change_epochs_mutated0_MP_44,0.5359 (unreliable)
MM_deeplocalize026_change_epochs_mutated0_MP_50,0.2439 (reliable)
MM_deeplocalize026_change_epochs_mutated0_MP_75,0.3662 (unreliable)
MM_deeplocalize026_change_epochs_mutated0_MP_88,0.1548 (unreliable)
MM_deeplocalize026_change_epochs_mutated0_MP_89,0.1097 (unreliable)
MM_deeplocalize026_change_epochs_mutated0_MP_90,0.1620 (reliable)
MM_deeplocalize026_change_epochs_mutated0_MP_91,0.1464 (reliable)
MM_deeplocalize026_change_epochs_mutated0_MP_94,0.0915 (reliable)
MM_deeplocalize026_change_label_mutated0_MP_100,1.0000 (unreliable)
MM_deeplocalize026_change_label_mutated0_MP_12.5,0.8272 (unreliable)
MM_deeplocalize026_change_label_mutated0_MP_25.0,1.0000 (unreliable)
MM_deeplocalize026_change_label_mutated0_MP_50.0,1.0000 (unreliable)
MM_deeplocalize026_change_label_mutated0_MP_6.25,0.4708 (reliable)
MM_deeplocalize026_change_label_mutated0_MP_9.38,0.9438 (unreliable)
MM_deeplocalize026_change_learning_rate_mutated0_MP_False_0.0001,0.4436 (unreliable)
MM_deeplocalize026_change_learning_rate_mutated0_MP_False_0.00055,0.1545 (unreliable)
MM_deeplocalize026_change_learning_rate_mutated0_MP_False_0.00067,0.0587 (reliable)
MM_deeplocalize026_change_learning_rate_mutated0_MP_False_0.0007,0.2888 (unreliable)
MM_deeplocalize026_change_learning_rate_mutated0_MP_False_0.00071,0.1792 (reliable)
MM_deeplocalize026_change_learning_rate_mutated0_MP_False_0.00072,0.1502 (reliable)
MM_deeplocalize026_change_learning_rate_mutated0_MP_False_0.00078,0.0738 (reliable)
MM_deeplocalize026_change_loss_function_mutated0_MP_categorical_crossentropy,0.0000 (reliable)
MM_deeplocalize026_change_loss_function_mutated0_MP_categorical_hinge,0.2207 (unreliable)
MM_deeplocalize026_change_loss_function_mutated0_MP_hinge,0.4245 (unreliable)
MM_deeplocalize026_change_loss_function_mutated0_MP_huber_loss,0.0000 (reliable)
