,FM_deepfd035_faulty
MM_deepfd035_change_weights_initialisation_mutated0_MP_constant_3,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_glorot_normal_1,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_glorot_normal_3,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_glorot_uniform_1,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_glorot_uniform_3,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_he_normal_1,0.2000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_he_normal_3,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_he_uniform_1,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_he_uniform_3,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_identity_1,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_identity_3,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_lecun_normal_1,0.2500 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_lecun_normal_3,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_lecun_uniform_1,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_lecun_uniform_3,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_ones_1,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_ones_3,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_orthogonal_1,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_orthogonal_3,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_random_normal_1,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_random_normal_3,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_random_uniform_1,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_random_uniform_3,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_truncated_normal_1,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_truncated_normal_3,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_variance_scaling_1,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_variance_scaling_3,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_zeros_1,0.0000 (unreliable)
MM_deepfd035_change_weights_initialisation_mutated0_MP_zeros_3,0.0000 (unreliable)
MM_deepfd035_delete_training_data_mutated0_MP_49.5,0.3333 (unreliable)
MM_deepfd035_delete_training_data_mutated0_MP_52.59,0.2500 (unreliable)
MM_deepfd035_delete_training_data_mutated0_MP_55.69,0.0000 (unreliable)
MM_deepfd035_delete_training_data_mutated0_MP_61.88,0.3333 (unreliable)
MM_deepfd035_delete_training_data_mutated0_MP_64.97,0.4286 (unreliable)
MM_deepfd035_delete_training_data_mutated0_MP_68.06,0.0750 (unreliable)
MM_deepfd035_delete_training_data_mutated0_MP_74.25,0.1500 (unreliable)
MM_deepfd035_delete_training_data_mutated0_MP_99,0.0252 (reliable)
MM_deepfd035_disable_batching_mutated0_MP,0.0207 (reliable)
MM_deepfd035_make_output_classes_overlap_mutated0_MP_100,0.0429 (reliable)
MM_deepfd035_make_output_classes_overlap_mutated0_MP_15.62,0.2000 (unreliable)
MM_deepfd035_make_output_classes_overlap_mutated0_MP_18.43,0.2143 (unreliable)
MM_deepfd035_make_output_classes_overlap_mutated0_MP_21.25,0.1034 (unreliable)
MM_deepfd035_make_output_classes_overlap_mutated0_MP_32.5,0.1765 (unreliable)
MM_deepfd035_make_output_classes_overlap_mutated0_MP_55.0,0.1200 (unreliable)
MM_deepfd035_remove_activation_function_mutated0_MP_2,0.2222 (unreliable)
MM_deepfd035_remove_activation_function_mutated0_MP_4,0.0121 (unreliable)
MM_deepfd035_remove_bias_mutated0_MP_1,0.0000 (unreliable)
MM_deepfd035_remove_bias_mutated0_MP_3,0.0000 (unreliable)
MM_deepfd035_remove_validation_set_mutated0_MP,0.0000 (unreliable)
MM_deepfd035_unbalance_train_data_mutated0_MP_100,0.0207 (reliable)
MM_deepfd035_unbalance_train_data_mutated0_MP_12.5,0.0000 (unreliable)
MM_deepfd035_unbalance_train_data_mutated0_MP_18.75,0.0000 (unreliable)
MM_deepfd035_unbalance_train_data_mutated0_MP_21.88,0.0000 (unreliable)
MM_deepfd035_unbalance_train_data_mutated0_MP_25.0,0.3333 (unreliable)
MM_deepfd035_unbalance_train_data_mutated0_MP_31.25,0.3333 (unreliable)
MM_deepfd035_unbalance_train_data_mutated0_MP_34.38,0.5000 (unreliable)
MM_deepfd035_unbalance_train_data_mutated0_MP_37.5,0.0000 (unreliable)
MM_deepfd035_unbalance_train_data_mutated0_MP_50.0,0.7500 (unreliable)
MM_deepfd035_unbalance_train_data_mutated0_MP_56.25,0.3000 (unreliable)
MM_deepfd035_unbalance_train_data_mutated0_MP_59.38,0.2308 (unreliable)
MM_deepfd035_unbalance_train_data_mutated0_MP_62.5,0.2727 (unreliable)
MM_deepfd035_unbalance_train_data_mutated0_MP_75.0,0.0411 (reliable)
