,FM_cleanml005_faulty
MM_cleanml005_add_noise_mutated0_MP_100,0.3236 (reliable)
MM_cleanml005_add_noise_mutated0_MP_12.5,0.1504 (reliable)
MM_cleanml005_add_noise_mutated0_MP_18.75,0.1677 (reliable)
MM_cleanml005_add_noise_mutated0_MP_21.88,0.1598 (reliable)
MM_cleanml005_add_noise_mutated0_MP_25.0,0.2192 (reliable)
MM_cleanml005_add_noise_mutated0_MP_50.0,0.1324 (reliable)
MM_cleanml005_add_noise_mutated0_MP_6.25,0.2326 (reliable)
MM_cleanml005_add_noise_mutated0_MP_9.38,0.2037 (reliable)
MM_cleanml005_add_weights_regularisation_mutated0_MP_l1_1,0.3883 (reliable)
MM_cleanml005_add_weights_regularisation_mutated0_MP_l1_2,0.3858 (reliable)
MM_cleanml005_add_weights_regularisation_mutated0_MP_l1_l2_1,0.3851 (reliable)
MM_cleanml005_add_weights_regularisation_mutated0_MP_l1_l2_2,0.3837 (reliable)
MM_cleanml005_add_weights_regularisation_mutated0_MP_l2_1,0.3024 (reliable)
MM_cleanml005_add_weights_regularisation_mutated0_MP_l2_2,0.2823 (reliable)
MM_cleanml005_change_activation_function_mutated0_MP_elu_1,0.3198 (reliable)
MM_cleanml005_change_activation_function_mutated0_MP_elu_2,0.2582 (reliable)
MM_cleanml005_change_activation_function_mutated0_MP_exponential_1,0.3940 (reliable)
MM_cleanml005_change_activation_function_mutated0_MP_exponential_2,0.2787 (reliable)
MM_cleanml005_change_activation_function_mutated0_MP_hard_sigmoid_1,0.3780 (reliable)
MM_cleanml005_change_activation_function_mutated0_MP_hard_sigmoid_2,0.3170 (reliable)
MM_cleanml005_change_activation_function_mutated0_MP_linear_1,0.3566 (reliable)
MM_cleanml005_change_activation_function_mutated0_MP_linear_2,0.2484 (reliable)
MM_cleanml005_change_activation_function_mutated0_MP_relu_1,0.1902 (reliable)
MM_cleanml005_change_activation_function_mutated0_MP_relu_2,0.3669 (reliable)
MM_cleanml005_change_activation_function_mutated0_MP_selu_1,0.2135 (reliable)
MM_cleanml005_change_activation_function_mutated0_MP_selu_2,0.2374 (reliable)
MM_cleanml005_change_activation_function_mutated0_MP_sigmoid_1,0.2829 (reliable)
MM_cleanml005_change_activation_function_mutated0_MP_sigmoid_2,0.2568 (reliable)
MM_cleanml005_change_activation_function_mutated0_MP_softmax_1,0.2535 (reliable)
MM_cleanml005_change_activation_function_mutated0_MP_softmax_2,0.0144 (reliable)
MM_cleanml005_change_activation_function_mutated0_MP_softplus_1,0.4104 (reliable)
MM_cleanml005_change_activation_function_mutated0_MP_softplus_2,0.3078 (reliable)
MM_cleanml005_change_activation_function_mutated0_MP_softsign_1,0.2094 (reliable)
MM_cleanml005_change_activation_function_mutated0_MP_softsign_2,0.4184 (reliable)
MM_cleanml005_change_activation_function_mutated0_MP_tanh_1,0.2402 (reliable)
MM_cleanml005_change_activation_function_mutated0_MP_tanh_2,0.3584 (reliable)
MM_cleanml005_change_batch_size_mutated0_MP_100_100,0.2346 (reliable)
MM_cleanml005_change_batch_size_mutated0_MP_400_400,0.2111 (reliable)
MM_cleanml005_change_batch_size_mutated0_MP_50_50,0.1970 (reliable)
MM_cleanml005_change_batch_size_mutated0_MP_800_800,0.2704 (reliable)
MM_cleanml005_change_epochs_mutated0_MP_1,0.3521 (reliable)
MM_cleanml005_change_epochs_mutated0_MP_100,0.2454 (reliable)
MM_cleanml005_change_epochs_mutated0_MP_150,0.2098 (reliable)
MM_cleanml005_change_epochs_mutated0_MP_162,0.2443 (reliable)
MM_cleanml005_change_epochs_mutated0_MP_165,0.1792 (reliable)
MM_cleanml005_change_epochs_mutated0_MP_166,0.2197 (reliable)
MM_cleanml005_change_epochs_mutated0_MP_167,0.2147 (reliable)
MM_cleanml005_change_epochs_mutated0_MP_168,0.2145 (reliable)
MM_cleanml005_change_epochs_mutated0_MP_175,0.2131 (reliable)
MM_cleanml005_change_epochs_mutated0_MP_50,0.3641 (reliable)
MM_cleanml005_change_epochs_mutated0_MP_56,0.3222 (reliable)
MM_cleanml005_change_epochs_mutated0_MP_59,0.3041 (reliable)
MM_cleanml005_change_epochs_mutated0_MP_60,0.3238 (reliable)
MM_cleanml005_change_epochs_mutated0_MP_61,0.3036 (reliable)
MM_cleanml005_change_epochs_mutated0_MP_62,0.3141 (reliable)
MM_cleanml005_change_epochs_mutated0_MP_75,0.3542 (reliable)
MM_cleanml005_change_label_mutated0_MP_100,0.0144 (reliable)
MM_cleanml005_change_label_mutated0_MP_12.5,0.0788 (reliable)
MM_cleanml005_change_label_mutated0_MP_25.0,0.0534 (reliable)
MM_cleanml005_change_label_mutated0_MP_3.12,0.1578 (reliable)
