,FM_deepfd016_faulty
MM_deepfd016_add_noise_mutated0_MP_100,0.1127 (reliable)
MM_deepfd016_add_noise_mutated0_MP_47.5,0.0000 (reliable)
MM_deepfd016_add_noise_mutated0_MP_51.88,0.0000 (reliable)
MM_deepfd016_add_noise_mutated0_MP_56.25,0.0299 (reliable)
MM_deepfd016_add_noise_mutated0_MP_65.0,0.0299 (reliable)
MM_deepfd016_add_noise_mutated0_MP_69.38,0.0299 (reliable)
MM_deepfd016_add_noise_mutated0_MP_73.75,0.0299 (reliable)
MM_deepfd016_add_noise_mutated0_MP_82.5,0.0299 (reliable)
MM_deepfd016_add_weights_regularisation_mutated0_MP_l1_1,0.0299 (reliable)
MM_deepfd016_add_weights_regularisation_mutated0_MP_l1_2,0.0156 (reliable)
MM_deepfd016_add_weights_regularisation_mutated0_MP_l1_l2_1,0.0303 (reliable)
MM_deepfd016_add_weights_regularisation_mutated0_MP_l1_l2_2,0.0299 (reliable)
MM_deepfd016_add_weights_regularisation_mutated0_MP_l2_1,0.0299 (reliable)
MM_deepfd016_add_weights_regularisation_mutated0_MP_l2_2,0.0308 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_elu_1,0.0000 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_elu_2,0.6444 (unreliable)
MM_deepfd016_change_activation_function_mutated0_MP_exponential_1,0.0290 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_exponential_2,0.0000 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_hard_sigmoid_1,0.0725 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_hard_sigmoid_2,0.4286 (unreliable)
MM_deepfd016_change_activation_function_mutated0_MP_linear_1,0.0156 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_linear_2,0.2672 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_relu_1,0.0312 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_selu_1,0.0000 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_selu_2,0.3158 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_sigmoid_1,0.0725 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_sigmoid_2,0.0000 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_softmax_1,0.2174 (unreliable)
MM_deepfd016_change_activation_function_mutated0_MP_softmax_2,0.0000 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_softplus_1,0.0299 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_softplus_2,0.1343 (unreliable)
MM_deepfd016_change_activation_function_mutated0_MP_softsign_1,0.0448 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_softsign_2,0.5278 (unreliable)
MM_deepfd016_change_activation_function_mutated0_MP_tanh_1,0.0000 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_tanh_2,0.5102 (unreliable)
MM_deepfd016_change_epochs_mutated0_MP_106,0.0448 (reliable)
MM_deepfd016_change_epochs_mutated0_MP_125,0.0299 (reliable)
MM_deepfd016_change_epochs_mutated0_MP_144,0.0303 (reliable)
MM_deepfd016_change_epochs_mutated0_MP_162,0.0312 (reliable)
MM_deepfd016_change_epochs_mutated0_MP_50,0.1884 (unreliable)
MM_deepfd016_change_epochs_mutated0_MP_88,0.1471 (unreliable)
MM_deepfd016_change_label_mutated0_MP_100,0.1224 (reliable)
MM_deepfd016_change_label_mutated0_MP_12.5,0.0294 (reliable)
MM_deepfd016_change_label_mutated0_MP_25.0,0.0896 (unreliable)
MM_deepfd016_change_label_mutated0_MP_3.12,0.0147 (reliable)
MM_deepfd016_change_label_mutated0_MP_50.0,0.1549 (reliable)
MM_deepfd016_change_label_mutated0_MP_6.25,0.0597 (unreliable)
MM_deepfd016_change_label_mutated0_MP_9.38,0.1364 (unreliable)
MM_deepfd016_change_loss_function_mutated0_MP_binary_crossentropy,0.2429 (unreliable)
MM_deepfd016_change_loss_function_mutated0_MP_categorical_hinge,0.0000 (reliable)
MM_deepfd016_change_loss_function_mutated0_MP_hinge,0.2174 (unreliable)
MM_deepfd016_change_loss_function_mutated0_MP_huber_loss,0.3478 (unreliable)
MM_deepfd016_change_loss_function_mutated0_MP_logcosh,0.4225 (unreliable)
MM_deepfd016_change_loss_function_mutated0_MP_mean_absolute_error,0.1884 (unreliable)
MM_deepfd016_change_loss_function_mutated0_MP_mean_absolute_percentage_error,0.5579 (unreliable)
MM_deepfd016_change_loss_function_mutated0_MP_mean_squared_error,0.1571 (unreliable)
MM_deepfd016_change_loss_function_mutated0_MP_mean_squared_logarithmic_error,0.3429 (unreliable)
MM_deepfd016_change_loss_function_mutated0_MP_poisson,0.1304 (unreliable)
MM_deepfd016_change_loss_function_mutated0_MP_squared_hinge,0.0299 (reliable)
MM_deepfd016_change_optimisation_function_mutated0_MP_adadelta,0.5625 (unreliable)
MM_deepfd016_change_optimisation_function_mutated0_MP_adagrad,0.5205 (unreliable)
MM_deepfd016_change_optimisation_function_mutated0_MP_adamax,0.1045 (unreliable)
MM_deepfd016_change_weights_initialisation_mutated0_MP_constant_1,0.0000 (reliable)
MM_deepfd016_change_weights_initialisation_mutated0_MP_constant_2,0.0000 (reliable)
MM_deepfd016_change_weights_initialisation_mutated0_MP_glorot_normal_1,0.0303 (reliable)
MM_deepfd016_change_weights_initialisation_mutated0_MP_glorot_normal_2,0.0000 (reliable)
MM_deepfd016_change_weights_initialisation_mutated0_MP_glorot_uniform_1,0.0152 (reliable)
MM_deepfd016_change_weights_initialisation_mutated0_MP_glorot_uniform_2,0.0000 (reliable)
