,FM_cleanml019_faulty
MM_cleanml019_original0_GF_0.01_1,0.1065 (reliable)
MM_cleanml019_original0_LA_0.01_1,0.2311 (reliable)
MM_cleanml019_original0_NAI_0.01_1,0.1185 (reliable)
MM_cleanml019_original0_NEB_0.01_1,0.1154 (reliable)
MM_cleanml019_original0_NS_0.01_1,0.1082 (reliable)
MM_cleanml019_original0_WS_0.01_1,0.1133 (reliable)
MM_cleanml019_original1_GF_0.01_1,0.1246 (reliable)
MM_cleanml019_original1_LA_0.01_1,0.1198 (reliable)
MM_cleanml019_original1_NAI_0.01_1,0.1379 (reliable)
MM_cleanml019_original1_NEB_0.01_1,0.1298 (reliable)
MM_cleanml019_original1_NS_0.01_1,0.1330 (reliable)
MM_cleanml019_original1_WS_0.01_1,0.1329 (reliable)
MM_cleanml019_original2_GF_0.01_1,0.1207 (reliable)
MM_cleanml019_original2_LA_0.01_1,0.1178 (reliable)
MM_cleanml019_original2_NAI_0.01_1,0.1296 (reliable)
MM_cleanml019_original2_NEB_0.01_1,0.1207 (reliable)
MM_cleanml019_original2_NS_0.01_1,0.1261 (reliable)
MM_cleanml019_original2_WS_0.01_1,0.1251 (reliable)
MM_cleanml019_original3_GF_0.01_1,0.1239 (reliable)
MM_cleanml019_original3_LA_0.01_1,0.2466 (reliable)
MM_cleanml019_original3_NAI_0.01_1,0.1333 (reliable)
MM_cleanml019_original3_NEB_0.01_1,0.1314 (reliable)
MM_cleanml019_original3_NS_0.01_1,0.1324 (reliable)
MM_cleanml019_original3_WS_0.01_1,0.1338 (reliable)
MM_cleanml019_original4_GF_0.01_1,0.1432 (reliable)
MM_cleanml019_original4_LA_0.01_1,0.2534 (reliable)
MM_cleanml019_original4_NAI_0.01_1,0.1553 (reliable)
MM_cleanml019_original4_NEB_0.01_1,0.1375 (reliable)
MM_cleanml019_original4_NS_0.01_1,0.1526 (reliable)
MM_cleanml019_original4_WS_0.01_1,0.1515 (reliable)
