,FM_defect4ml051_faulty
MM_defect4ml051_original0_GF_0.01_1,0.1077762619372442
MM_defect4ml051_original0_LA_0.01_1,0.019661636945587566
MM_defect4ml051_original0_LD_0.01_1,0.0950354609929078
MM_defect4ml051_original0_LR_0.01_1,0.0950354609929078
MM_defect4ml051_original0_NAI_0.01_1,0.0277841038487816
MM_defect4ml051_original0_NEB_0.01_1,0.12280701754385966
MM_defect4ml051_original0_NS_0.01_1,0.15321477428180572
MM_defect4ml051_original0_WS_0.01_1,0.08897379912663755
MM_defect4ml051_original1_GF_0.01_1,0.10709987966305655
MM_defect4ml051_original1_LA_0.01_1,0.1012048192771084
MM_defect4ml051_original1_LD_0.01_1,0.09915356711003627
MM_defect4ml051_original1_LR_0.01_1,0.09915356711003627
MM_defect4ml051_original1_NAI_0.01_1,0.043814432989690726
MM_defect4ml051_original1_NEB_0.01_1,0.04864181933038535
MM_defect4ml051_original1_NS_0.01_1,0.12469437652811734
MM_defect4ml051_original1_WS_0.01_1,0.10794140323824208
MM_defect4ml051_original2_GF_0.01_1,0.1137884872824632
MM_defect4ml051_original2_LA_0.01_1,0.11111111111111112
MM_defect4ml051_original2_LD_0.01_1,0.09972677595628415
MM_defect4ml051_original2_LR_0.01_1,0.09972677595628415
MM_defect4ml051_original2_NAI_0.01_1,0.03327461342728518
MM_defect4ml051_original2_NEB_0.01_1,0.10945273631840798
MM_defect4ml051_original2_NS_0.01_1,0.13317479191438764
MM_defect4ml051_original2_WS_0.01_1,0.08453837597330366
MM_defect4ml051_original3_GF_0.01_1,0.14809960681520312
MM_defect4ml051_original3_LA_0.01_1,0.03526841448189763
MM_defect4ml051_original3_LD_0.01_1,0.12319790301441678
MM_defect4ml051_original3_LR_0.01_1,0.12319790301441678
MM_defect4ml051_original3_NAI_0.01_1,0.0465051903114187
MM_defect4ml051_original3_NEB_0.01_1,0.09968652037617555
MM_defect4ml051_original3_NS_0.01_1,0.14335664335664336
MM_defect4ml051_original3_WS_0.01_1,0.08753623188405797
MM_defect4ml051_original4_GF_0.01_1,0.13432835820895522
MM_defect4ml051_original4_LA_0.01_1,0.03976435935198821
MM_defect4ml051_original4_LD_0.01_1,0.11349306431273642
MM_defect4ml051_original4_LR_0.01_1,0.11349306431273642
MM_defect4ml051_original4_NAI_0.01_1,0.043699834373805584
MM_defect4ml051_original4_NEB_0.01_1,0.14977477477477477
MM_defect4ml051_original4_NS_0.01_1,0.14715359828141777
MM_defect4ml051_original4_WS_0.01_1,0.056078431372549024
