,FM_defect4ml041_faulty
MM_defect4ml041_add_noise_mutated0_MP_100,0.4097 (reliable)
MM_defect4ml041_add_weights_regularisation_mutated0_MP_l1_1,0.4538 (reliable)
MM_defect4ml041_add_weights_regularisation_mutated0_MP_l1_2,0.0201 (reliable)
MM_defect4ml041_add_weights_regularisation_mutated0_MP_l1_6,0.2333 (reliable)
MM_defect4ml041_add_weights_regularisation_mutated0_MP_l1_7,0.0105 (reliable)
MM_defect4ml041_add_weights_regularisation_mutated0_MP_l1_l2_1,0.4079 (reliable)
MM_defect4ml041_add_weights_regularisation_mutated0_MP_l1_l2_2,0.0183 (reliable)
MM_defect4ml041_add_weights_regularisation_mutated0_MP_l1_l2_6,0.2394 (unreliable)
MM_defect4ml041_add_weights_regularisation_mutated0_MP_l1_l2_7,0.0151 (reliable)
MM_defect4ml041_add_weights_regularisation_mutated0_MP_l2_1,0.3174 (reliable)
MM_defect4ml041_add_weights_regularisation_mutated0_MP_l2_2,0.0121 (reliable)
MM_defect4ml041_add_weights_regularisation_mutated0_MP_l2_6,0.4570 (reliable)
MM_defect4ml041_add_weights_regularisation_mutated0_MP_l2_7,0.0107 (reliable)
MM_defect4ml041_change_activation_function_mutated0_MP_elu_1,0.2711 (reliable)
MM_defect4ml041_change_activation_function_mutated0_MP_elu_2,0.0104 (reliable)
MM_defect4ml041_change_activation_function_mutated0_MP_elu_6,0.2443 (reliable)
MM_defect4ml041_change_activation_function_mutated0_MP_elu_7,0.2315 (reliable)
MM_defect4ml041_change_activation_function_mutated0_MP_exponential_1,0.2960 (reliable)
MM_defect4ml041_change_activation_function_mutated0_MP_exponential_2,0.1848 (reliable)
MM_defect4ml041_change_activation_function_mutated0_MP_exponential_6,0.3365 (reliable)
MM_defect4ml041_change_activation_function_mutated0_MP_exponential_7,0.0083 (reliable)
MM_defect4ml041_change_activation_function_mutated0_MP_hard_sigmoid_1,0.2195 (reliable)
MM_defect4ml041_change_activation_function_mutated0_MP_hard_sigmoid_2,0.2195 (reliable)
MM_defect4ml041_change_activation_function_mutated0_MP_hard_sigmoid_6,0.2510 (unreliable)
MM_defect4ml041_change_activation_function_mutated0_MP_hard_sigmoid_7,0.2485 (reliable)
MM_defect4ml041_change_activation_function_mutated0_MP_linear_1,0.2183 (reliable)
MM_defect4ml041_change_activation_function_mutated0_MP_linear_2,0.0115 (reliable)
MM_defect4ml041_change_activation_function_mutated0_MP_linear_6,0.1932 (reliable)
MM_defect4ml041_change_activation_function_mutated0_MP_linear_7,0.2406 (unreliable)
MM_defect4ml041_change_activation_function_mutated0_MP_relu_1,0.4582 (unreliable)
MM_defect4ml041_change_activation_function_mutated0_MP_relu_2,0.0134 (reliable)
MM_defect4ml041_change_activation_function_mutated0_MP_relu_6,0.3787 (reliable)
MM_defect4ml041_change_activation_function_mutated0_MP_selu_1,0.1888 (reliable)
MM_defect4ml041_change_activation_function_mutated0_MP_selu_2,0.0128 (reliable)
MM_defect4ml041_change_activation_function_mutated0_MP_selu_6,0.1811 (reliable)
MM_defect4ml041_change_activation_function_mutated0_MP_selu_7,0.2221 (reliable)
MM_defect4ml041_change_activation_function_mutated0_MP_sigmoid_1,0.2307 (reliable)
MM_defect4ml041_change_activation_function_mutated0_MP_sigmoid_2,0.1848 (reliable)
MM_defect4ml041_change_activation_function_mutated0_MP_sigmoid_6,0.2359 (reliable)
