,FM_defect4ml050_faulty
MM_defect4ml050_add_noise_mutated0_MP_100,0.0130 (reliable)
MM_defect4ml050_add_noise_mutated0_MP_12.5,0.2912 (unreliable)
MM_defect4ml050_add_noise_mutated0_MP_15.62,0.2649 (unreliable)
MM_defect4ml050_add_noise_mutated0_MP_18.75,0.2772 (unreliable)
MM_defect4ml050_add_noise_mutated0_MP_25.0,0.2857 (unreliable)
MM_defect4ml050_add_noise_mutated0_MP_3.12,0.2780 (unreliable)
MM_defect4ml050_add_noise_mutated0_MP_50.0,0.2611 (unreliable)
MM_defect4ml050_add_noise_mutated0_MP_6.25,0.2765 (unreliable)
MM_defect4ml050_add_weights_regularisation_mutated0_MP_l1_1,0.2523 (unreliable)
MM_defect4ml050_add_weights_regularisation_mutated0_MP_l1_10,0.2503 (unreliable)
MM_defect4ml050_add_weights_regularisation_mutated0_MP_l1_3,0.2394 (reliable)
MM_defect4ml050_add_weights_regularisation_mutated0_MP_l1_5,0.2169 (unreliable)
MM_defect4ml050_add_weights_regularisation_mutated0_MP_l1_8,0.2651 (unreliable)
MM_defect4ml050_add_weights_regularisation_mutated0_MP_l1_9,0.2816 (unreliable)
MM_defect4ml050_add_weights_regularisation_mutated0_MP_l1_l2_1,0.2949 (unreliable)
MM_defect4ml050_add_weights_regularisation_mutated0_MP_l1_l2_10,0.2693 (unreliable)
MM_defect4ml050_add_weights_regularisation_mutated0_MP_l1_l2_3,0.2249 (reliable)
MM_defect4ml050_add_weights_regularisation_mutated0_MP_l1_l2_5,0.2115 (reliable)
MM_defect4ml050_add_weights_regularisation_mutated0_MP_l1_l2_8,0.2791 (unreliable)
MM_defect4ml050_add_weights_regularisation_mutated0_MP_l1_l2_9,0.2164 (unreliable)
MM_defect4ml050_add_weights_regularisation_mutated0_MP_l2_1,0.2700 (unreliable)
MM_defect4ml050_add_weights_regularisation_mutated0_MP_l2_10,0.2663 (unreliable)
MM_defect4ml050_add_weights_regularisation_mutated0_MP_l2_3,0.2579 (unreliable)
MM_defect4ml050_add_weights_regularisation_mutated0_MP_l2_5,0.2439 (unreliable)
MM_defect4ml050_add_weights_regularisation_mutated0_MP_l2_8,0.2439 (unreliable)
MM_defect4ml050_add_weights_regularisation_mutated0_MP_l2_9,0.2445 (unreliable)
MM_defect4ml050_change_activation_function_mutated0_MP_elu_1,0.2845 (unreliable)
MM_defect4ml050_change_activation_function_mutated0_MP_elu_10,0.0240 (unreliable)
MM_defect4ml050_change_activation_function_mutated0_MP_elu_3,0.2551 (unreliable)
MM_defect4ml050_change_activation_function_mutated0_MP_elu_5,0.2812 (unreliable)
MM_defect4ml050_change_activation_function_mutated0_MP_elu_8,0.2673 (unreliable)
MM_defect4ml050_change_activation_function_mutated0_MP_elu_9,0.2503 (unreliable)
MM_defect4ml050_change_activation_function_mutated0_MP_exponential_8,0.1003 (reliable)
MM_defect4ml050_change_activation_function_mutated0_MP_hard_sigmoid_1,0.2800 (unreliable)
MM_defect4ml050_change_activation_function_mutated0_MP_hard_sigmoid_10,0.0135 (reliable)
MM_defect4ml050_change_activation_function_mutated0_MP_hard_sigmoid_3,0.2431 (reliable)
MM_defect4ml050_change_activation_function_mutated0_MP_hard_sigmoid_5,0.0840 (reliable)
