,FM_deepfd008_faulty
MM_deepfd008_original0_GF_0.01_1,0.0197 (reliable)
MM_deepfd008_original0_LA_0.01_1,0.1089 (reliable)
MM_deepfd008_original0_NAI_0.01_1,0.0706 (reliable)
MM_deepfd008_original0_NEB_0.01_1,0.0324 (reliable)
MM_deepfd008_original0_NS_0.01_1,0.0586 (reliable)
MM_deepfd008_original0_WS_0.01_1,0.0330 (reliable)
MM_deepfd008_original1_GF_0.01_1,0.0156 (reliable)
MM_deepfd008_original1_LA_0.01_1,0.2174 (reliable)
MM_deepfd008_original1_NAI_0.01_1,0.0467 (reliable)
MM_deepfd008_original1_NEB_0.01_1,0.0278 (reliable)
MM_deepfd008_original1_NS_0.01_1,0.0401 (reliable)
MM_deepfd008_original1_WS_0.01_1,0.0203 (reliable)
MM_deepfd008_original2_GF_0.01_1,0.0254 (reliable)
MM_deepfd008_original2_LA_0.01_1,0.0242 (reliable)
MM_deepfd008_original2_NAI_0.01_1,0.0330 (reliable)
MM_deepfd008_original2_NEB_0.01_1,0.0362 (reliable)
MM_deepfd008_original2_NS_0.01_1,0.0373 (reliable)
MM_deepfd008_original2_WS_0.01_1,0.0506 (reliable)
MM_deepfd008_original3_GF_0.01_1,0.0279 (reliable)
MM_deepfd008_original3_LA_0.01_1,0.3878 (reliable)
MM_deepfd008_original3_NAI_0.01_1,0.0338 (reliable)
MM_deepfd008_original3_NEB_0.01_1,0.0621 (reliable)
MM_deepfd008_original3_NS_0.01_1,0.0803 (reliable)
MM_deepfd008_original3_WS_0.01_1,0.0427 (reliable)
MM_deepfd008_original4_GF_0.01_1,0.0156 (reliable)
MM_deepfd008_original4_LA_0.01_1,0.3297 (unreliable)
MM_deepfd008_original4_NAI_0.01_1,0.0334 (reliable)
MM_deepfd008_original4_NEB_0.01_1,0.0140 (reliable)
MM_deepfd008_original4_NS_0.01_1,0.0162 (reliable)
MM_deepfd008_original4_WS_0.01_1,0.0572 (reliable)
