,FM_defect4ml088_faulty
MM_defect4ml088_add_weights_regularisation_mutated0_MP_l1_1,0.1301 (reliable)
MM_defect4ml088_add_weights_regularisation_mutated0_MP_l1_11,0.1896 (reliable)
MM_defect4ml088_add_weights_regularisation_mutated0_MP_l1_14,0.1155 (reliable)
MM_defect4ml088_add_weights_regularisation_mutated0_MP_l1_4,0.1468 (reliable)
MM_defect4ml088_add_weights_regularisation_mutated0_MP_l1_7,0.1158 (reliable)
MM_defect4ml088_add_weights_regularisation_mutated0_MP_l1_l2_1,0.0985 (reliable)
MM_defect4ml088_add_weights_regularisation_mutated0_MP_l1_l2_11,0.1611 (reliable)
MM_defect4ml088_add_weights_regularisation_mutated0_MP_l1_l2_14,0.0789 (reliable)
MM_defect4ml088_add_weights_regularisation_mutated0_MP_l1_l2_4,0.1114 (reliable)
MM_defect4ml088_add_weights_regularisation_mutated0_MP_l1_l2_7,0.1146 (reliable)
MM_defect4ml088_add_weights_regularisation_mutated0_MP_l2_1,0.1157 (reliable)
MM_defect4ml088_add_weights_regularisation_mutated0_MP_l2_11,0.1047 (reliable)
MM_defect4ml088_add_weights_regularisation_mutated0_MP_l2_14,0.1084 (reliable)
MM_defect4ml088_add_weights_regularisation_mutated0_MP_l2_4,0.0895 (reliable)
MM_defect4ml088_add_weights_regularisation_mutated0_MP_l2_7,0.0635 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_elu_1,0.0685 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_elu_11,0.1310 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_elu_12,0.1680 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_elu_14,0.0876 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_elu_15,0.5258 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_elu_2,0.1105 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_elu_4,0.1880 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_elu_5,0.0876 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_elu_7,0.1443 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_elu_8,0.1122 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_exponential_1,0.1611 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_exponential_11,0.1558 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_exponential_12,0.2077 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_exponential_14,0.0950 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_exponential_15,0.1125 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_exponential_2,0.1538 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_exponential_4,0.1611 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_exponential_5,0.1611 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_exponential_7,0.2090 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_exponential_8,0.2476 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_hard_sigmoid_1,0.1611 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_hard_sigmoid_11,0.1633 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_hard_sigmoid_12,0.1218 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_hard_sigmoid_14,0.0746 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_hard_sigmoid_15,0.1854 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_hard_sigmoid_2,0.1517 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_hard_sigmoid_4,0.1611 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_hard_sigmoid_5,0.1635 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_hard_sigmoid_7,0.2206 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_hard_sigmoid_8,0.2604 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_linear_1,0.1312 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_linear_11,0.1031 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_linear_12,0.2122 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_linear_14,0.0982 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_linear_15,0.8237 (unreliable)
MM_defect4ml088_change_activation_function_mutated0_MP_linear_2,0.1516 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_linear_4,0.1094 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_linear_5,0.0781 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_linear_7,0.1005 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_linear_8,0.1387 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_relu_1,0.1117 (reliable)
MM_defect4ml088_change_activation_function_mutated0_MP_relu_11,0.1342 (reliable)
