,FM_deeplocalize027_faulty
MM_deeplocalize027_add_noise_mutated0_MP_100,0.3538 (reliable)
MM_deeplocalize027_add_noise_mutated0_MP_25.0,0.1002 (reliable)
MM_deeplocalize027_add_noise_mutated0_MP_31.25,0.1060 (reliable)
MM_deeplocalize027_add_noise_mutated0_MP_34.38,0.1057 (reliable)
MM_deeplocalize027_add_noise_mutated0_MP_37.5,0.1020 (reliable)
MM_deeplocalize027_add_noise_mutated0_MP_40.62,0.1178 (reliable)
MM_deeplocalize027_add_noise_mutated0_MP_43.75,0.1123 (reliable)
MM_deeplocalize027_add_noise_mutated0_MP_50.0,0.1203 (reliable)
MM_deeplocalize027_add_weights_regularisation_mutated0_MP_l1_1,0.1090 (reliable)
MM_deeplocalize027_add_weights_regularisation_mutated0_MP_l1_3,0.2405 (reliable)
MM_deeplocalize027_add_weights_regularisation_mutated0_MP_l1_6,0.4830 (reliable)
MM_deeplocalize027_add_weights_regularisation_mutated0_MP_l1_8,0.1103 (reliable)
MM_deeplocalize027_add_weights_regularisation_mutated0_MP_l1_l2_1,0.1182 (reliable)
MM_deeplocalize027_add_weights_regularisation_mutated0_MP_l1_l2_3,0.2384 (reliable)
MM_deeplocalize027_add_weights_regularisation_mutated0_MP_l1_l2_6,0.4749 (reliable)
MM_deeplocalize027_add_weights_regularisation_mutated0_MP_l1_l2_8,0.1219 (reliable)
MM_deeplocalize027_add_weights_regularisation_mutated0_MP_l2_1,0.1058 (reliable)
MM_deeplocalize027_add_weights_regularisation_mutated0_MP_l2_3,0.1119 (reliable)
MM_deeplocalize027_add_weights_regularisation_mutated0_MP_l2_6,0.1812 (reliable)
MM_deeplocalize027_add_weights_regularisation_mutated0_MP_l2_8,0.0975 (reliable)
MM_deeplocalize027_change_activation_function_mutated0_MP_elu_1,0.1023 (reliable)
MM_deeplocalize027_change_activation_function_mutated0_MP_elu_3,0.1379 (reliable)
MM_deeplocalize027_change_activation_function_mutated0_MP_elu_6,0.1437 (reliable)
MM_deeplocalize027_change_activation_function_mutated0_MP_elu_8,0.6167 (unreliable)
MM_deeplocalize027_change_activation_function_mutated0_MP_exponential_1,0.2358 (reliable)
MM_deeplocalize027_change_activation_function_mutated0_MP_exponential_3,0.5223 (reliable)
MM_deeplocalize027_change_activation_function_mutated0_MP_exponential_6,0.2511 (reliable)
MM_deeplocalize027_change_activation_function_mutated0_MP_hard_sigmoid_1,0.3885 (reliable)
MM_deeplocalize027_change_activation_function_mutated0_MP_hard_sigmoid_3,0.2942 (reliable)
MM_deeplocalize027_change_activation_function_mutated0_MP_hard_sigmoid_6,0.0934 (reliable)
MM_deeplocalize027_change_activation_function_mutated0_MP_hard_sigmoid_8,0.7802 (reliable)
MM_deeplocalize027_change_activation_function_mutated0_MP_linear_1,0.1005 (reliable)
MM_deeplocalize027_change_activation_function_mutated0_MP_linear_3,0.1417 (reliable)
MM_deeplocalize027_change_activation_function_mutated0_MP_linear_6,0.1485 (reliable)
MM_deeplocalize027_change_activation_function_mutated0_MP_linear_8,0.7745 (reliable)
MM_deeplocalize027_change_activation_function_mutated0_MP_relu_1,0.0970 (reliable)
MM_deeplocalize027_change_activation_function_mutated0_MP_relu_3,0.0972 (reliable)
MM_deeplocalize027_change_activation_function_mutated0_MP_relu_6,0.0956 (reliable)
MM_deeplocalize027_change_activation_function_mutated0_MP_selu_1,0.0964 (reliable)
MM_deeplocalize027_change_activation_function_mutated0_MP_selu_3,0.1731 (reliable)
MM_deeplocalize027_change_activation_function_mutated0_MP_selu_6,0.1525 (reliable)
MM_deeplocalize027_change_activation_function_mutated0_MP_selu_8,0.6246 (reliable)
MM_deeplocalize027_change_activation_function_mutated0_MP_sigmoid_1,0.3396 (reliable)
MM_deeplocalize027_change_activation_function_mutated0_MP_sigmoid_3,0.3752 (reliable)
