,FM_cleanml002_faulty
MM_cleanml002_add_noise_mutated0_MP_100,0.1504 (reliable)
MM_cleanml002_add_noise_mutated0_MP_12.5,0.0247 (reliable)
MM_cleanml002_add_noise_mutated0_MP_15.62,0.0244 (reliable)
MM_cleanml002_add_noise_mutated0_MP_18.75,0.0337 (reliable)
MM_cleanml002_add_noise_mutated0_MP_25.0,0.0286 (reliable)
MM_cleanml002_add_noise_mutated0_MP_28.12,0.0311 (reliable)
MM_cleanml002_add_noise_mutated0_MP_31.25,0.0356 (reliable)
MM_cleanml002_add_noise_mutated0_MP_37.5,0.0440 (reliable)
MM_cleanml002_add_noise_mutated0_MP_50.0,0.0604 (reliable)
MM_cleanml002_add_noise_mutated0_MP_6.25,0.0253 (reliable)
MM_cleanml002_add_noise_mutated0_MP_9.38,0.0256 (reliable)
MM_cleanml002_add_weights_regularisation_mutated0_MP_l1_1,0.2880 (reliable)
MM_cleanml002_add_weights_regularisation_mutated0_MP_l1_2,0.1558 (reliable)
MM_cleanml002_add_weights_regularisation_mutated0_MP_l1_l2_1,0.2919 (reliable)
MM_cleanml002_add_weights_regularisation_mutated0_MP_l1_l2_2,0.1663 (reliable)
MM_cleanml002_add_weights_regularisation_mutated0_MP_l2_1,0.0807 (reliable)
MM_cleanml002_add_weights_regularisation_mutated0_MP_l2_2,0.0875 (reliable)
MM_cleanml002_change_activation_function_mutated0_MP_elu_1,0.0679 (reliable)
MM_cleanml002_change_activation_function_mutated0_MP_elu_2,0.1059 (reliable)
MM_cleanml002_change_activation_function_mutated0_MP_hard_sigmoid_1,0.2431 (reliable)
MM_cleanml002_change_activation_function_mutated0_MP_hard_sigmoid_2,0.0715 (reliable)
MM_cleanml002_change_activation_function_mutated0_MP_linear_1,0.2785 (reliable)
MM_cleanml002_change_activation_function_mutated0_MP_linear_2,0.1001 (reliable)
MM_cleanml002_change_activation_function_mutated0_MP_relu_1,0.0210 (reliable)
MM_cleanml002_change_activation_function_mutated0_MP_relu_2,0.1170 (reliable)
MM_cleanml002_change_activation_function_mutated0_MP_selu_1,0.0708 (reliable)
MM_cleanml002_change_activation_function_mutated0_MP_selu_2,0.1423 (reliable)
MM_cleanml002_change_activation_function_mutated0_MP_sigmoid_1,0.1092 (reliable)
MM_cleanml002_change_activation_function_mutated0_MP_sigmoid_2,0.0229 (reliable)
MM_cleanml002_change_activation_function_mutated0_MP_softmax_1,0.0670 (reliable)
MM_cleanml002_change_activation_function_mutated0_MP_softmax_2,0.3417 (reliable)
MM_cleanml002_change_activation_function_mutated0_MP_softplus_1,0.1300 (reliable)
MM_cleanml002_change_activation_function_mutated0_MP_softplus_2,0.0567 (reliable)
MM_cleanml002_change_activation_function_mutated0_MP_softsign_1,0.0271 (reliable)
MM_cleanml002_change_activation_function_mutated0_MP_softsign_2,0.1620 (reliable)
MM_cleanml002_change_activation_function_mutated0_MP_tanh_1,0.0325 (reliable)
MM_cleanml002_change_activation_function_mutated0_MP_tanh_2,0.1072 (reliable)
MM_cleanml002_change_batch_size_mutated0_MP_100_100,0.0238 (reliable)
MM_cleanml002_change_batch_size_mutated0_MP_400_400,0.0363 (reliable)
MM_cleanml002_change_batch_size_mutated0_MP_50_50,0.0184 (reliable)
MM_cleanml002_change_batch_size_mutated0_MP_800_800,0.0591 (reliable)
MM_cleanml002_change_epochs_mutated0_MP_1,0.2297 (reliable)
MM_cleanml002_change_epochs_mutated0_MP_100,0.0532 (reliable)
MM_cleanml002_change_epochs_mutated0_MP_150,0.0346 (reliable)
MM_cleanml002_change_epochs_mutated0_MP_162,0.0272 (reliable)
MM_cleanml002_change_epochs_mutated0_MP_168,0.0304 (reliable)
MM_cleanml002_change_epochs_mutated0_MP_169,0.0276 (reliable)
MM_cleanml002_change_epochs_mutated0_MP_170,0.0301 (reliable)
MM_cleanml002_change_epochs_mutated0_MP_172,0.0259 (reliable)
MM_cleanml002_change_epochs_mutated0_MP_175,0.0281 (reliable)
MM_cleanml002_change_epochs_mutated0_MP_188,0.0266 (reliable)
MM_cleanml002_change_epochs_mutated0_MP_190,0.0300 (reliable)
MM_cleanml002_change_epochs_mutated0_MP_191,0.0258 (reliable)
MM_cleanml002_change_epochs_mutated0_MP_192,0.0247 (reliable)
MM_cleanml002_change_epochs_mutated0_MP_193,0.0237 (reliable)
MM_cleanml002_change_epochs_mutated0_MP_194,0.0255 (reliable)
MM_cleanml002_change_label_mutated0_MP_100,0.3417 (reliable)
MM_cleanml002_change_label_mutated0_MP_12.5,0.0781 (reliable)
MM_cleanml002_change_label_mutated0_MP_25.0,0.1545 (reliable)
MM_cleanml002_change_label_mutated0_MP_3.12,0.0421 (reliable)
MM_cleanml002_change_label_mutated0_MP_50.0,0.3232 (reliable)
MM_cleanml002_change_label_mutated0_MP_6.25,0.0403 (reliable)
MM_cleanml002_change_learning_rate_mutated0_MP_False_0.0001,0.1738 (reliable)
MM_cleanml002_change_learning_rate_mutated0_MP_False_0.00055,0.0441 (reliable)
