,FM_deeplocalize038_faulty
MM_deeplocalize038_GF_0.01_1,0.0125 (reliable)
MM_deeplocalize038_GF_0.1_1,0.0714 (reliable)
MM_deeplocalize038_GF_0.2_1,0.1892 (reliable)
MM_deeplocalize038_GF_0.6_1,0.1795 (reliable)
MM_deeplocalize038_GF_1.0_1,0.1862 (reliable)
MM_deeplocalize038_LA_0.01_1,0.0000 (reliable)
MM_deeplocalize038_NAI_0.01_1,0.0000 (reliable)
MM_deeplocalize038_NAI_0.1_1,0.0292 (reliable)
MM_deeplocalize038_NEB_0.01_1,0.2129 (reliable)
MM_deeplocalize038_NS_0.01_1,0.0000 (reliable)
MM_deeplocalize038_NS_0.1_1,0.2156 (reliable)
MM_deeplocalize038_NS_0.2_1,0.3845 (unreliable)
MM_deeplocalize038_WS_0.01_1,0.0626 (reliable)
