,FM_cleanml001_faulty
MM_cleanml012_GF_0.01_1,0.1467 (reliable)
MM_cleanml012_GF_0.1_1,0.1838 (reliable)
MM_cleanml012_GF_0.2_1,0.1642 (reliable)
MM_cleanml012_GF_0.6_1,0.0800 (reliable)
MM_cleanml012_GF_1.0_1,0.0928 (reliable)
MM_cleanml012_LA_0.01_1,0.0477 (reliable)
MM_cleanml012_NAI_0.01_1,0.0590 (reliable)
MM_cleanml012_NAI_0.2_1,0.0661 (reliable)
MM_cleanml012_NEB_0.01_1,0.1059 (reliable)
MM_cleanml012_NEB_0.1_1,0.0839 (reliable)
MM_cleanml012_NS_0.01_1,0.0880 (reliable)
MM_cleanml012_NS_0.1_1,0.1024 (reliable)
MM_cleanml012_WS_0.01_1,0.1036 (reliable)
MM_cleanml012_WS_0.1_1,0.1107 (reliable)
