,FM_cleanml019_faulty
MM_cleanml019_GF_0.01_1,0.0145 (reliable)
MM_cleanml019_GF_0.1_1,0.0558 (reliable)
MM_cleanml019_GF_0.2_1,0.0876 (reliable)
MM_cleanml019_GF_0.6_1,0.1519 (reliable)
MM_cleanml019_GF_1.0_1,0.1888 (reliable)
MM_cleanml019_LA_0.01_1,0.1797 (reliable)
MM_cleanml019_NAI_0.01_1,0.0438 (reliable)
MM_cleanml019_NAI_0.1_1,0.1566 (reliable)
MM_cleanml019_NAI_0.2_1,0.1950 (reliable)
MM_cleanml019_NEB_0.01_1,0.0097 (reliable)
MM_cleanml019_NEB_0.1_1,0.1351 (reliable)
MM_cleanml019_NS_0.01_1,0.0355 (reliable)
MM_cleanml019_NS_0.1_1,0.1078 (reliable)
MM_cleanml019_WS_0.01_1,0.0295 (reliable)
MM_cleanml019_WS_0.1_1,0.1212 (reliable)
MM_cleanml019_WS_0.2_1,0.1527 (reliable)
