,FM_defect4ml051_faulty
MM_defect4ml051_add_noise_mutated0_MP_100,0.0106 (reliable)
MM_defect4ml051_add_noise_mutated0_MP_12.5,0.2546 (unreliable)
MM_defect4ml051_add_noise_mutated0_MP_15.62,0.2276 (unreliable)
MM_defect4ml051_add_noise_mutated0_MP_18.75,0.2239 (unreliable)
MM_defect4ml051_add_noise_mutated0_MP_25.0,0.2422 (unreliable)
MM_defect4ml051_add_noise_mutated0_MP_28.12,0.2334 (unreliable)
MM_defect4ml051_add_noise_mutated0_MP_3.12,0.2653 (unreliable)
MM_defect4ml051_add_noise_mutated0_MP_31.25,0.2235 (unreliable)
MM_defect4ml051_add_noise_mutated0_MP_37.5,0.2431 (unreliable)
MM_defect4ml051_add_noise_mutated0_MP_50.0,0.2172 (unreliable)
MM_defect4ml051_add_noise_mutated0_MP_6.25,0.2465 (unreliable)
MM_defect4ml051_add_weights_regularisation_mutated0_MP_l1_1,0.2367 (unreliable)
MM_defect4ml051_add_weights_regularisation_mutated0_MP_l1_11,0.2526 (unreliable)
MM_defect4ml051_add_weights_regularisation_mutated0_MP_l1_3,0.2107 (reliable)
MM_defect4ml051_add_weights_regularisation_mutated0_MP_l1_5,0.2193 (unreliable)
MM_defect4ml051_add_weights_regularisation_mutated0_MP_l1_8,0.2230 (unreliable)
MM_defect4ml051_add_weights_regularisation_mutated0_MP_l1_9,0.2672 (unreliable)
MM_defect4ml051_add_weights_regularisation_mutated0_MP_l1_l2_1,0.2351 (unreliable)
MM_defect4ml051_add_weights_regularisation_mutated0_MP_l1_l2_11,0.2900 (unreliable)
MM_defect4ml051_add_weights_regularisation_mutated0_MP_l1_l2_3,0.2130 (unreliable)
MM_defect4ml051_add_weights_regularisation_mutated0_MP_l1_l2_5,0.1995 (reliable)
MM_defect4ml051_add_weights_regularisation_mutated0_MP_l1_l2_8,0.2509 (unreliable)
MM_defect4ml051_add_weights_regularisation_mutated0_MP_l1_l2_9,0.2699 (unreliable)
MM_defect4ml051_add_weights_regularisation_mutated0_MP_l2_1,0.2365 (unreliable)
MM_defect4ml051_add_weights_regularisation_mutated0_MP_l2_11,0.2660 (unreliable)
MM_defect4ml051_add_weights_regularisation_mutated0_MP_l2_3,0.2408 (unreliable)
MM_defect4ml051_add_weights_regularisation_mutated0_MP_l2_5,0.2668 (unreliable)
MM_defect4ml051_add_weights_regularisation_mutated0_MP_l2_8,0.2557 (unreliable)
MM_defect4ml051_add_weights_regularisation_mutated0_MP_l2_9,0.2497 (unreliable)
MM_defect4ml051_change_activation_function_mutated0_MP_elu_1,0.2500 (unreliable)
