,FM_deeplocalize039_faulty
MM_deeplocalize039_GF_0.01_1,0.0590 (reliable)
MM_deeplocalize039_GF_0.1_1,0.1021 (reliable)
MM_deeplocalize039_GF_0.2_1,0.1258 (reliable)
MM_deeplocalize039_GF_0.6_1,0.1891 (reliable)
MM_deeplocalize039_GF_1.0_1,0.2876 (reliable)
MM_deeplocalize039_LA_0.01_1,0.1088 (reliable)
MM_deeplocalize039_LD_0.01_1,0.0000 (reliable)
MM_deeplocalize039_LR_0.01_1,0.0350 (reliable)
MM_deeplocalize039_NAI_0.01_1,0.1514 (reliable)
MM_deeplocalize039_NAI_0.1_1,0.1568 (reliable)
MM_deeplocalize039_NEB_0.01_1,0.1559 (reliable)
MM_deeplocalize039_NEB_0.1_1,0.1767 (reliable)
MM_deeplocalize039_NS_0.01_1,0.0893 (reliable)
MM_deeplocalize039_WS_0.01_1,0.1796 (reliable)
MM_deeplocalize039_WS_0.1_1,0.2732 (unreliable)
MM_deeplocalize039_WS_0.2_1,0.3265 (reliable)
