,FM_defect4ml095_faulty
MM_defect4ml095_original0_GF_0.01_1,0.1628 (unreliable)
MM_defect4ml095_original0_LA_0.01_1,0.3226 (unreliable)
MM_defect4ml095_original0_NAI_0.01_1,0.2857 (unreliable)
MM_defect4ml095_original0_NEB_0.01_1,0.1622 (unreliable)
MM_defect4ml095_original0_WS_0.01_1,0.2955 (unreliable)
MM_defect4ml095_original1_GF_0.01_1,0.1951 (unreliable)
MM_defect4ml095_original1_LA_0.01_1,0.4186 (unreliable)
MM_defect4ml095_original1_NAI_0.01_1,0.2727 (unreliable)
MM_defect4ml095_original2_GF_0.01_1,0.1333 (unreliable)
MM_defect4ml095_original2_LA_0.01_1,0.3404 (unreliable)
MM_defect4ml095_original2_NAI_0.01_1,0.4048 (unreliable)
MM_defect4ml095_original2_WS_0.01_1,0.2326 (unreliable)
MM_defect4ml095_original3_GF_0.01_1,0.1818 (unreliable)
MM_defect4ml095_original3_LA_0.01_1,0.2642 (unreliable)
MM_defect4ml095_original3_NEB_0.01_1,0.1522 (unreliable)
MM_defect4ml095_original3_NS_0.01_1,0.1961 (unreliable)
MM_defect4ml095_original3_WS_0.01_1,0.1739 (unreliable)
MM_defect4ml095_original4_GF_0.01_1,0.1220 (unreliable)
MM_defect4ml095_original4_LA_0.01_1,0.3016 (unreliable)
MM_defect4ml095_original4_NAI_0.01_1,0.2174 (unreliable)
MM_defect4ml095_original4_NEB_0.01_1,0.2000 (unreliable)
MM_defect4ml095_original4_NS_0.01_1,0.3514 (unreliable)
MM_defect4ml095_original4_WS_0.01_1,0.1220 (unreliable)
