,FM_deeplocalize028_faulty
MM_deeplocalize028_add_noise_mutated0_MP_100,0.2653 (reliable)
MM_deeplocalize028_add_noise_mutated0_MP_12.5,0.7143 (unreliable)
MM_deeplocalize028_add_noise_mutated0_MP_18.75,0.6912 (unreliable)
MM_deeplocalize028_add_noise_mutated0_MP_21.88,0.6885 (unreliable)
MM_deeplocalize028_add_noise_mutated0_MP_25.0,0.4906 (unreliable)
MM_deeplocalize028_add_noise_mutated0_MP_37.5,0.5250 (unreliable)
MM_deeplocalize028_add_noise_mutated0_MP_40.62,0.5259 (unreliable)
MM_deeplocalize028_add_noise_mutated0_MP_43.75,0.5000 (unreliable)
MM_deeplocalize028_add_noise_mutated0_MP_50.0,0.4649 (unreliable)
MM_deeplocalize028_add_weights_regularisation_mutated0_MP_l1_1,0.5747 (unreliable)
MM_deeplocalize028_add_weights_regularisation_mutated0_MP_l1_4,0.6562 (unreliable)
MM_deeplocalize028_add_weights_regularisation_mutated0_MP_l1_l2_1,0.7215 (unreliable)
MM_deeplocalize028_add_weights_regularisation_mutated0_MP_l1_l2_4,0.6867 (unreliable)
MM_deeplocalize028_add_weights_regularisation_mutated0_MP_l2_1,0.8125 (unreliable)
MM_deeplocalize028_add_weights_regularisation_mutated0_MP_l2_4,0.6066 (unreliable)
MM_deeplocalize028_change_activation_function_mutated0_MP_elu_2,0.6301 (unreliable)
MM_deeplocalize028_change_activation_function_mutated0_MP_elu_5,0.4356 (reliable)
MM_deeplocalize028_change_activation_function_mutated0_MP_hard_sigmoid_2,0.5362 (unreliable)
MM_deeplocalize028_change_activation_function_mutated0_MP_hard_sigmoid_5,0.2945 (reliable)
MM_deeplocalize028_change_activation_function_mutated0_MP_linear_2,0.6667 (unreliable)
MM_deeplocalize028_change_activation_function_mutated0_MP_linear_5,0.3505 (unreliable)
MM_deeplocalize028_change_activation_function_mutated0_MP_relu_2,0.6739 (unreliable)
MM_deeplocalize028_change_activation_function_mutated0_MP_relu_5,0.2945 (reliable)
MM_deeplocalize028_change_activation_function_mutated0_MP_selu_2,0.7534 (unreliable)
MM_deeplocalize028_change_activation_function_mutated0_MP_selu_5,0.3992 (reliable)
MM_deeplocalize028_change_activation_function_mutated0_MP_sigmoid_2,0.6721 (unreliable)
MM_deeplocalize028_change_activation_function_mutated0_MP_sigmoid_5,0.6296 (unreliable)
MM_deeplocalize028_change_activation_function_mutated0_MP_softmax_2,0.3243 (reliable)
MM_deeplocalize028_change_activation_function_mutated0_MP_softmax_5,0.7083 (unreliable)
MM_deeplocalize028_change_activation_function_mutated0_MP_softplus_2,0.8254 (unreliable)
MM_deeplocalize028_change_activation_function_mutated0_MP_softplus_5,0.3500 (unreliable)
MM_deeplocalize028_change_activation_function_mutated0_MP_softsign_2,0.5862 (unreliable)
MM_deeplocalize028_change_activation_function_mutated0_MP_softsign_5,0.2430 (reliable)
MM_deeplocalize028_change_activation_function_mutated0_MP_tanh_2,0.5476 (unreliable)
MM_deeplocalize028_change_activation_function_mutated0_MP_tanh_5,0.2945 (reliable)
MM_deeplocalize028_change_batch_size_mutated0_MP_16_16,0.7011 (unreliable)
MM_deeplocalize028_change_batch_size_mutated0_MP_1_1,0.6190 (unreliable)
MM_deeplocalize028_change_batch_size_mutated0_MP_2_2,0.6610 (unreliable)
MM_deeplocalize028_change_batch_size_mutated0_MP_8_8,0.7671 (unreliable)
MM_deeplocalize028_change_dropout_rate_mutated0_MP_0.125_0.125_3,0.5914 (unreliable)
MM_deeplocalize028_change_dropout_rate_mutated0_MP_0.25_0.25_3,0.5865 (unreliable)
MM_deeplocalize028_change_dropout_rate_mutated0_MP_0.75_0.75_3,0.7692 (unreliable)
MM_deeplocalize028_change_dropout_rate_mutated0_MP_0.9_0.9_3,0.6324 (unreliable)
MM_deeplocalize028_change_epochs_mutated0_MP_1,0.5159 (unreliable)
MM_deeplocalize028_change_epochs_mutated0_MP_2,0.5657 (unreliable)
MM_deeplocalize028_change_epochs_mutated0_MP_4,0.6238 (unreliable)
MM_deeplocalize028_change_epochs_mutated0_MP_5,0.6357 (unreliable)
MM_deeplocalize028_change_epochs_mutated0_MP_6,0.7237 (unreliable)
MM_deeplocalize028_change_label_mutated0_MP_100,0.1583 (reliable)
MM_deeplocalize028_change_label_mutated0_MP_12.5,0.5645 (unreliable)
MM_deeplocalize028_change_label_mutated0_MP_15.62,0.5205 (unreliable)
MM_deeplocalize028_change_label_mutated0_MP_18.75,0.3851 (reliable)
MM_deeplocalize028_change_label_mutated0_MP_25.0,0.4118 (unreliable)
MM_deeplocalize028_change_label_mutated0_MP_50.0,0.1777 (reliable)
MM_deeplocalize028_change_learning_rate_mutated0_MP_False_0.0001,0.5692 (unreliable)
MM_deeplocalize028_change_learning_rate_mutated0_MP_False_0.0002,0.6667 (unreliable)
MM_deeplocalize028_change_learning_rate_mutated0_MP_False_0.0003,0.7358 (unreliable)
MM_deeplocalize028_change_learning_rate_mutated0_MP_False_0.0006,0.7188 (unreliable)
MM_deeplocalize028_change_loss_function_mutated0_MP_categorical_crossentropy,0.7107 (unreliable)
MM_deeplocalize028_change_loss_function_mutated0_MP_categorical_hinge,0.2975 (reliable)
MM_deeplocalize028_change_loss_function_mutated0_MP_hinge,0.3176 (reliable)
MM_deeplocalize028_change_loss_function_mutated0_MP_huber_loss,0.2938 (reliable)
MM_deeplocalize028_change_loss_function_mutated0_MP_kullback_leibler_divergence,0.2945 (reliable)
MM_deeplocalize028_change_loss_function_mutated0_MP_logcosh,0.3576 (reliable)
MM_deeplocalize028_change_loss_function_mutated0_MP_mean_absolute_error,0.3355 (reliable)
MM_deeplocalize028_change_loss_function_mutated0_MP_mean_absolute_percentage_error,0.3592 (reliable)
MM_deeplocalize028_change_loss_function_mutated0_MP_mean_squared_error,0.3399 (reliable)
MM_deeplocalize028_change_loss_function_mutated0_MP_mean_squared_logarithmic_error,0.3169 (reliable)
MM_deeplocalize028_change_loss_function_mutated0_MP_poisson,0.2945 (reliable)
MM_deeplocalize028_change_loss_function_mutated0_MP_squared_hinge,0.3571 (reliable)
MM_deeplocalize028_change_optimisation_function_mutated0_MP_adadelta,0.3399 (unreliable)
MM_deeplocalize028_change_optimisation_function_mutated0_MP_adagrad,0.4516 (unreliable)
MM_deeplocalize028_change_optimisation_function_mutated0_MP_adamax,0.7424 (unreliable)
MM_deeplocalize028_change_optimisation_function_mutated0_MP_nadam,0.7419 (unreliable)
MM_deeplocalize028_change_optimisation_function_mutated0_MP_rmsprop,0.8039 (unreliable)
MM_deeplocalize028_change_optimisation_function_mutated0_MP_sgd,0.3245 (reliable)
MM_deeplocalize028_change_weights_initialisation_mutated0_MP_constant_1,0.2945 (reliable)
MM_deeplocalize028_change_weights_initialisation_mutated0_MP_constant_4,0.7222 (unreliable)
MM_deeplocalize028_change_weights_initialisation_mutated0_MP_glorot_normal_1,0.8485 (unreliable)
MM_deeplocalize028_change_weights_initialisation_mutated0_MP_glorot_normal_4,0.6981 (unreliable)
MM_deeplocalize028_change_weights_initialisation_mutated0_MP_glorot_uniform_1,0.7045 (unreliable)
MM_deeplocalize028_change_weights_initialisation_mutated0_MP_glorot_uniform_4,0.7048 (unreliable)
MM_deeplocalize028_change_weights_initialisation_mutated0_MP_he_normal_1,0.5484 (unreliable)
MM_deeplocalize028_change_weights_initialisation_mutated0_MP_he_normal_4,0.6000 (unreliable)
MM_deeplocalize028_change_weights_initialisation_mutated0_MP_he_uniform_1,0.6518 (unreliable)
MM_deeplocalize028_change_weights_initialisation_mutated0_MP_he_uniform_4,0.6981 (unreliable)
MM_deeplocalize028_change_weights_initialisation_mutated0_MP_identity_1,0.5562 (unreliable)
MM_deeplocalize028_change_weights_initialisation_mutated0_MP_identity_4,0.6413 (unreliable)
MM_deeplocalize028_change_weights_initialisation_mutated0_MP_lecun_normal_1,0.5934 (unreliable)
MM_deeplocalize028_change_weights_initialisation_mutated0_MP_lecun_normal_4,0.8393 (unreliable)
MM_deeplocalize028_change_weights_initialisation_mutated0_MP_lecun_uniform_1,0.7590 (unreliable)
MM_deeplocalize028_change_weights_initialisation_mutated0_MP_lecun_uniform_4,0.6786 (unreliable)
MM_deeplocalize028_change_weights_initialisation_mutated0_MP_ones_1,0.3179 (reliable)
MM_deeplocalize028_change_weights_initialisation_mutated0_MP_ones_4,0.2945 (reliable)
MM_deeplocalize028_change_weights_initialisation_mutated0_MP_orthogonal_1,0.7925 (unreliable)
MM_deeplocalize028_change_weights_initialisation_mutated0_MP_orthogonal_4,0.6835 (unreliable)
MM_deeplocalize028_change_weights_initialisation_mutated0_MP_random_normal_1,0.6923 (unreliable)
MM_deeplocalize028_change_weights_initialisation_mutated0_MP_random_normal_4,0.5738 (unreliable)
