,FM_deeplocalize002_faulty
MM_deeplocalize002_original0_GF_0.01_1,0.0955 (reliable)
MM_deeplocalize002_original0_LA_0.01_1,0.0304 (reliable)
MM_deeplocalize002_original0_LD_0.01_1,0.1027 (reliable)
MM_deeplocalize002_original0_LR_0.01_1,0.1027 (reliable)
MM_deeplocalize002_original0_NAI_0.01_1,0.1083 (reliable)
MM_deeplocalize002_original0_NEB_0.01_1,0.1058 (reliable)
MM_deeplocalize002_original0_NS_0.01_1,0.0594 (reliable)
MM_deeplocalize002_original0_WS_0.01_1,0.0972 (reliable)
MM_deeplocalize002_original1_GF_0.01_1,0.1031 (reliable)
MM_deeplocalize002_original1_LA_0.01_1,0.0260 (reliable)
MM_deeplocalize002_original1_LD_0.01_1,0.0928 (reliable)
MM_deeplocalize002_original1_LR_0.01_1,0.0928 (reliable)
MM_deeplocalize002_original1_NAI_0.01_1,0.0295 (reliable)
MM_deeplocalize002_original1_NEB_0.01_1,0.0984 (reliable)
MM_deeplocalize002_original1_NS_0.01_1,0.0563 (reliable)
MM_deeplocalize002_original1_WS_0.01_1,0.1005 (reliable)
MM_deeplocalize002_original2_GF_0.01_1,0.1033 (reliable)
MM_deeplocalize002_original2_LA_0.01_1,0.0273 (reliable)
MM_deeplocalize002_original2_LD_0.01_1,0.1071 (reliable)
MM_deeplocalize002_original2_LR_0.01_1,0.1071 (reliable)
MM_deeplocalize002_original2_NAI_0.01_1,0.1165 (reliable)
MM_deeplocalize002_original2_NEB_0.01_1,0.0385 (reliable)
MM_deeplocalize002_original2_NS_0.01_1,0.0693 (reliable)
MM_deeplocalize002_original2_WS_0.01_1,0.0529 (reliable)
MM_deeplocalize002_original3_GF_0.01_1,0.1000 (reliable)
MM_deeplocalize002_original3_LA_0.01_1,0.0273 (reliable)
MM_deeplocalize002_original3_LD_0.01_1,0.0957 (reliable)
MM_deeplocalize002_original3_LR_0.01_1,0.0957 (reliable)
MM_deeplocalize002_original3_NAI_0.01_1,0.1032 (reliable)
MM_deeplocalize002_original3_NEB_0.01_1,0.0993 (reliable)
MM_deeplocalize002_original3_NS_0.01_1,0.0710 (reliable)
MM_deeplocalize002_original3_WS_0.01_1,0.1041 (reliable)
MM_deeplocalize002_original4_GF_0.01_1,0.1185 (reliable)
MM_deeplocalize002_original4_LA_0.01_1,0.1030 (reliable)
MM_deeplocalize002_original4_LD_0.01_1,0.1030 (reliable)
MM_deeplocalize002_original4_LR_0.01_1,0.1030 (reliable)
MM_deeplocalize002_original4_NAI_0.01_1,0.1041 (reliable)
MM_deeplocalize002_original4_NEB_0.01_1,0.1140 (reliable)
MM_deeplocalize002_original4_NS_0.01_1,0.0675 (reliable)
MM_deeplocalize002_original4_WS_0.01_1,0.1054 (reliable)
