,FM_cleanml003_faulty
MM_cleanml003_GF_0.01_1,0.6601 (reliable)
MM_cleanml003_GF_0.1_1,0.4712 (reliable)
MM_cleanml003_GF_0.2_1,0.4037 (reliable)
MM_cleanml003_GF_0.6_1,0.2919 (reliable)
MM_cleanml003_GF_1.0_1,0.3002 (reliable)
MM_cleanml003_LA_0.01_1,0.7857 (reliable)
MM_cleanml003_NAI_0.01_1,0.4681 (reliable)
MM_cleanml003_NAI_0.2_1,0.2128 (reliable)
MM_cleanml003_NEB_0.01_1,0.5397 (reliable)
MM_cleanml003_NEB_0.1_1,0.3385 (reliable)
MM_cleanml003_NS_0.01_1,0.4709 (reliable)
MM_cleanml003_WS_0.01_1,0.4619 (reliable)
MM_cleanml003_WS_0.1_1,0.3396 (reliable)
MM_cleanml003_WS_0.2_1,0.3129 (reliable)
