,FM_defect4ml088_faulty
MM_defect4ml088_GF_0.01_1,0.8
MM_defect4ml088_GF_0.1_1,0.6249999999999999
MM_defect4ml088_GF_0.2_1,0.7
MM_defect4ml088_GF_0.6_1,0.7356321839080461
MM_defect4ml088_GF_1.0_1,0.8796296296296298
MM_defect4ml088_LD_0.01_1,0.0
MM_defect4ml088_LR_0.01_1,0.5384615384615385
MM_defect4ml088_NAI_0.01_1,0.5238095238095238
MM_defect4ml088_NAI_0.1_1,0.6825396825396827
MM_defect4ml088_NEB_0.01_1,0.76
MM_defect4ml088_NEB_0.1_1,0.5657894736842106
MM_defect4ml088_NEB_0.2_1,0.5975609756097562
MM_defect4ml088_NS_0.01_1,1.0
MM_defect4ml088_NS_0.1_1,0.5957446808510637
MM_defect4ml088_NS_0.2_1,0.46590909090909083
MM_defect4ml088_NS_0.6_1,0.5491803278688525
MM_defect4ml088_NS_1.0_1,0.6304347826086957
MM_defect4ml088_WS_0.01_1,0.6666666666666666
MM_defect4ml088_WS_0.1_1,0.6615384615384616
MM_defect4ml088_WS_0.2_1,0.7857142857142856
