,FM_defect4ml053_faulty
MM_defect4ml053_add_noise_mutated0_MP_100,0.4087 (reliable)
MM_defect4ml053_add_noise_mutated0_MP_12.5,0.9097 (reliable)
MM_defect4ml053_add_noise_mutated0_MP_25.0,0.8996 (reliable)
MM_defect4ml053_add_noise_mutated0_MP_3.12,0.9112 (reliable)
MM_defect4ml053_add_noise_mutated0_MP_31.25,0.8942 (reliable)
MM_defect4ml053_add_noise_mutated0_MP_34.38,0.8986 (reliable)
MM_defect4ml053_add_noise_mutated0_MP_37.5,0.8972 (reliable)
MM_defect4ml053_add_noise_mutated0_MP_50.0,0.8851 (reliable)
MM_defect4ml053_add_noise_mutated0_MP_56.25,0.9030 (reliable)
MM_defect4ml053_add_noise_mutated0_MP_59.38,0.8862 (reliable)
MM_defect4ml053_add_noise_mutated0_MP_6.25,0.8780 (reliable)
MM_defect4ml053_add_noise_mutated0_MP_62.5,0.8590 (reliable)
MM_defect4ml053_add_noise_mutated0_MP_75.0,0.8494 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l1_11,0.8931 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l1_12,0.9057 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l1_2,0.9014 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l1_4,0.9037 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l1_6,0.9145 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l1_8,0.9114 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l1_l2_11,0.9030 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l1_l2_12,0.8977 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l1_l2_2,0.8969 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l1_l2_4,0.8980 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l1_l2_6,0.9018 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l1_l2_8,0.9016 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l2_11,0.8969 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l2_12,0.9066 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l2_2,0.9039 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l2_4,0.8989 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l2_6,0.9033 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l2_8,0.9083 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_elu_11,0.9171 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_elu_12,0.4214 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_elu_2,0.9177 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_elu_4,0.9213 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_elu_6,0.8955 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_elu_8,0.9001 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_hard_sigmoid_11,0.9049 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_hard_sigmoid_12,0.4871 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_hard_sigmoid_2,0.8965 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_hard_sigmoid_4,0.8882 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_hard_sigmoid_6,0.9103 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_hard_sigmoid_8,0.8444 (reliable)
