,FM_defect4ml054_faulty
MM_defect4ml054_GF_0.01_1,0.8247863247863249
MM_defect4ml054_GF_0.1_1,0.7753424657534247
MM_defect4ml054_GF_0.2_1,0.6395653802922443
MM_defect4ml054_GF_0.6_1,0.5091215268032555
MM_defect4ml054_GF_1.0_1,0.521617234764645
MM_defect4ml054_LA_0.01_1,0.2897884084636615
MM_defect4ml054_LD_0.01_1,0.0
MM_defect4ml054_LR_0.01_1,0.0
MM_defect4ml054_NAI_0.01_1,0.6635773864689528
MM_defect4ml054_NAI_0.1_1,0.4430079468627684
MM_defect4ml054_NAI_0.2_1,0.2996533795493934
MM_defect4ml054_NAI_0.6_1,0.19523028767327466
MM_defect4ml054_NEB_0.01_1,0.7625979843225085
MM_defect4ml054_NEB_0.1_1,0.5111492281303602
MM_defect4ml054_NEB_0.2_1,0.4205607476635514
MM_defect4ml054_NEB_0.6_1,0.23292462765157224
MM_defect4ml054_NS_0.01_1,0.7180570221752903
MM_defect4ml054_NS_0.1_1,0.4074248674130818
MM_defect4ml054_NS_0.2_1,0.3722498795567689
MM_defect4ml054_NS_0.6_1,0.23630788339867248
MM_defect4ml054_NS_1.0_1,0.21436035732344516
MM_defect4ml054_WS_0.01_1,0.8003025718608169
MM_defect4ml054_WS_0.1_1,0.5460184073629452
MM_defect4ml054_WS_0.2_1,0.42034391775088703
MM_defect4ml054_WS_0.6_1,0.22806505725330029
