,FM_defect4ml098_faulty
MM_defect4ml098_GF_0.01_1,0.9545 (reliable)
MM_defect4ml098_GF_0.1_1,0.9619 (reliable)
MM_defect4ml098_GF_0.2_1,0.9747 (reliable)
MM_defect4ml098_GF_0.6_1,0.9631 (reliable)
MM_defect4ml098_GF_1.0_1,0.9772 (reliable)
MM_defect4ml098_LA_0.01_1,0.9756 (reliable)
MM_defect4ml098_NAI_0.01_1,0.9767 (reliable)
MM_defect4ml098_NAI_0.1_1,0.8440 (reliable)
MM_defect4ml098_NEB_0.01_1,0.9714 (reliable)
MM_defect4ml098_NEB_0.1_1,0.5259 (reliable)
MM_defect4ml098_NEB_0.2_1,0.9929 (reliable)
MM_defect4ml098_NS_0.01_1,0.9450 (reliable)
MM_defect4ml098_NS_0.1_1,0.9799 (reliable)
MM_defect4ml098_NS_0.2_1,0.8144 (reliable)
MM_defect4ml098_WS_0.01_1,0.9677 (reliable)
MM_defect4ml098_WS_0.1_1,0.4350 (reliable)
MM_defect4ml098_WS_0.2_1,0.9371 (reliable)
