,FM_defect4ml091_faulty
MM_defect4ml091_GF_0.01_1,0.17132867132867133
MM_defect4ml091_GF_0.1_1,0.14156079854809436
MM_defect4ml091_GF_0.2_1,0.20000000000000004
MM_defect4ml091_GF_0.6_1,0.2928
MM_defect4ml091_GF_1.0_1,0.14604217075699966
MM_defect4ml091_LA_0.01_1,0.0
MM_defect4ml091_NAI_0.01_1,0.20318506315211424
MM_defect4ml091_NAI_0.1_1,0.16090909090909092
MM_defect4ml091_NEB_0.01_1,0.11789473684210527
MM_defect4ml091_NEB_0.1_1,0.14625
MM_defect4ml091_NEB_0.2_1,0.07179023508137433
MM_defect4ml091_NS_0.01_1,0.2018730489073881
MM_defect4ml091_NS_0.1_1,0.11419423692636071
MM_defect4ml091_NS_0.2_1,0.11437980241492866
MM_defect4ml091_WS_0.01_1,0.25783132530120484
MM_defect4ml091_WS_0.1_1,0.06075601374570447
MM_defect4ml091_WS_0.2_1,0.12454655380894801
