,FM_deepfd050_faulty
MM_deepfd050_add_noise_mutated0_MP_100,0.2543 (reliable)
MM_deepfd050_add_noise_mutated0_MP_12.5,0.6826 (reliable)
MM_deepfd050_add_noise_mutated0_MP_18.75,0.6474 (reliable)
MM_deepfd050_add_noise_mutated0_MP_21.88,0.5769 (reliable)
MM_deepfd050_add_noise_mutated0_MP_25.0,0.5961 (reliable)
MM_deepfd050_add_noise_mutated0_MP_37.5,0.5329 (reliable)
MM_deepfd050_add_noise_mutated0_MP_43.75,0.5150 (reliable)
MM_deepfd050_add_noise_mutated0_MP_46.88,0.5172 (reliable)
MM_deepfd050_add_noise_mutated0_MP_50.0,0.5095 (reliable)
MM_deepfd050_add_weights_regularisation_mutated0_MP_l1_1,0.0764 (reliable)
MM_deepfd050_add_weights_regularisation_mutated0_MP_l1_4,0.6032 (reliable)
MM_deepfd050_add_weights_regularisation_mutated0_MP_l1_7,0.5901 (reliable)
MM_deepfd050_add_weights_regularisation_mutated0_MP_l1_l2_1,0.0781 (reliable)
MM_deepfd050_add_weights_regularisation_mutated0_MP_l1_l2_4,0.5029 (reliable)
MM_deepfd050_add_weights_regularisation_mutated0_MP_l1_l2_7,0.6410 (reliable)
MM_deepfd050_add_weights_regularisation_mutated0_MP_l2_1,0.3570 (reliable)
MM_deepfd050_add_weights_regularisation_mutated0_MP_l2_4,0.6014 (reliable)
MM_deepfd050_add_weights_regularisation_mutated0_MP_l2_7,0.6072 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_elu_2,0.6799 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_elu_5,0.5978 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_elu_8,0.0652 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_exponential_2,0.2616 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_exponential_5,0.4719 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_exponential_8,0.2571 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_hard_sigmoid_2,0.2675 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_hard_sigmoid_5,0.4512 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_hard_sigmoid_8,0.3697 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_linear_2,0.6310 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_linear_5,0.6498 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_linear_8,0.0596 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_relu_2,0.6691 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_relu_5,0.6652 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_relu_8,0.0433 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_selu_2,0.6393 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_selu_5,0.5825 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_selu_8,0.0719 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_sigmoid_2,0.2430 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_sigmoid_5,0.3274 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_sigmoid_8,0.6535 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_softmax_2,0.3418 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_softmax_5,0.4312 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_softmax_8,0.0325 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_softplus_2,0.2412 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_softplus_5,0.5678 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_softplus_8,0.3460 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_softsign_2,0.6923 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_softsign_5,0.6560 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_softsign_8,0.0561 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_tanh_2,0.6894 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_tanh_5,0.6608 (reliable)
MM_deepfd050_change_activation_function_mutated0_MP_tanh_8,0.2308 (reliable)
MM_deepfd050_change_batch_size_mutated0_MP_1024_1024,0.4656 (reliable)
MM_deepfd050_change_batch_size_mutated0_MP_128_128,0.5137 (reliable)
MM_deepfd050_change_batch_size_mutated0_MP_2048_2048,0.2778 (reliable)
MM_deepfd050_change_batch_size_mutated0_MP_256_256,0.6153 (reliable)
MM_deepfd050_change_dropout_rate_mutated0_MP_0.125_0.125_3,0.6566 (reliable)
MM_deepfd050_change_dropout_rate_mutated0_MP_0.125_0.125_6,0.6996 (reliable)
MM_deepfd050_change_dropout_rate_mutated0_MP_0.25_0.25_3,0.6217 (reliable)
MM_deepfd050_change_dropout_rate_mutated0_MP_0.25_0.25_6,0.6185 (reliable)
MM_deepfd050_change_dropout_rate_mutated0_MP_0.75_0.75_3,0.4269 (reliable)
MM_deepfd050_change_dropout_rate_mutated0_MP_0.75_0.75_6,0.5219 (reliable)
MM_deepfd050_change_dropout_rate_mutated0_MP_0.9_0.9_3,0.2313 (reliable)
