,FM_deeplocalize038_faulty
MM_deeplocalize038_GF_0.01_1,1.0000 (reliable)
MM_deeplocalize038_GF_0.1_1,0.4176 (reliable)
MM_deeplocalize038_GF_0.2_1,0.4424 (reliable)
MM_deeplocalize038_GF_0.6_1,0.2712 (reliable)
MM_deeplocalize038_GF_1.0_1,0.2898 (reliable)
MM_deeplocalize038_LA_0.01_1,0.0000 (unreliable)
MM_deeplocalize038_NAI_0.01_1,0.0000 (unreliable)
MM_deeplocalize038_NAI_0.1_1,1.0000 (reliable)
MM_deeplocalize038_NEB_0.01_1,1.0000 (reliable)
MM_deeplocalize038_NS_0.01_1,0.0000 (reliable)
MM_deeplocalize038_NS_0.1_1,0.7152 (reliable)
MM_deeplocalize038_NS_0.2_1,0.5017 (unreliable)
MM_deeplocalize038_WS_0.01_1,1.0000 (reliable)
