,FM_deeplocalize026_faulty
MM_deeplocalize026_add_noise_mutated0_MP_100,0.4852 (reliable)
MM_deeplocalize026_add_weights_regularisation_mutated0_MP_l1_1,0.2746 (reliable)
MM_deeplocalize026_add_weights_regularisation_mutated0_MP_l1_3,0.6708 (reliable)
MM_deeplocalize026_add_weights_regularisation_mutated0_MP_l1_l2_1,0.2640 (reliable)
MM_deeplocalize026_add_weights_regularisation_mutated0_MP_l1_l2_3,0.1513 (reliable)
MM_deeplocalize026_add_weights_regularisation_mutated0_MP_l2_1,0.1624 (reliable)
MM_deeplocalize026_add_weights_regularisation_mutated0_MP_l2_3,0.3077 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_elu_1,0.4572 (unreliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_elu_2,0.0667 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_elu_3,0.0483 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_exponential_1,0.5928 (unreliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_exponential_2,0.6781 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_exponential_3,1.0000 (unreliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_hard_sigmoid_1,0.2343 (unreliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_hard_sigmoid_2,0.4589 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_hard_sigmoid_3,0.5420 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_linear_1,0.3978 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_linear_2,0.0000 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_linear_3,0.0000 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_relu_1,0.2358 (unreliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_relu_2,0.0000 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_relu_3,0.0151 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_selu_1,0.2817 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_selu_2,0.2143 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_selu_3,0.0474 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_sigmoid_1,0.2343 (unreliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_sigmoid_2,0.3600 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_sigmoid_3,0.5739 (unreliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_softmax_1,0.0000 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_softmax_2,0.0000 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_softmax_3,1.0000 (unreliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_softplus_1,0.2343 (unreliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_softplus_2,0.7442 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_softplus_3,1.0000 (unreliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_softsign_1,0.4050 (unreliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_softsign_2,0.0000 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_softsign_3,0.0000 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_tanh_1,0.2961 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_tanh_2,0.0000 (reliable)
MM_deeplocalize026_change_activation_function_mutated0_MP_tanh_3,0.0000 (reliable)
MM_deeplocalize026_change_batch_size_mutated0_MP_100_100,0.6061 (reliable)
MM_deeplocalize026_change_batch_size_mutated0_MP_400_400,0.4356 (reliable)
MM_deeplocalize026_change_batch_size_mutated0_MP_50_50,0.6190 (reliable)
MM_deeplocalize026_change_batch_size_mutated0_MP_800_800,0.0000 (reliable)
MM_deeplocalize026_change_epochs_mutated0_MP_1,0.8099 (unreliable)
MM_deeplocalize026_change_epochs_mutated0_MP_26,0.4700 (unreliable)
MM_deeplocalize026_change_epochs_mutated0_MP_38,0.7774 (unreliable)
MM_deeplocalize026_change_epochs_mutated0_MP_41,0.4828 (unreliable)
MM_deeplocalize026_change_epochs_mutated0_MP_42,0.7217 (reliable)
MM_deeplocalize026_change_epochs_mutated0_MP_44,0.9585 (unreliable)
MM_deeplocalize026_change_epochs_mutated0_MP_50,0.6390 (reliable)
MM_deeplocalize026_change_epochs_mutated0_MP_75,0.6186 (unreliable)
MM_deeplocalize026_change_epochs_mutated0_MP_88,0.3657 (unreliable)
MM_deeplocalize026_change_epochs_mutated0_MP_89,0.2936 (unreliable)
MM_deeplocalize026_change_epochs_mutated0_MP_90,0.5584 (reliable)
MM_deeplocalize026_change_epochs_mutated0_MP_91,0.5758 (reliable)
MM_deeplocalize026_change_epochs_mutated0_MP_94,0.5349 (reliable)
MM_deeplocalize026_change_label_mutated0_MP_100,1.0000 (unreliable)
MM_deeplocalize026_change_label_mutated0_MP_12.5,1.0000 (unreliable)
MM_deeplocalize026_change_label_mutated0_MP_25.0,1.0000 (unreliable)
MM_deeplocalize026_change_label_mutated0_MP_50.0,1.0000 (unreliable)
MM_deeplocalize026_change_label_mutated0_MP_6.25,1.0000 (reliable)
MM_deeplocalize026_change_label_mutated0_MP_9.38,1.0000 (unreliable)
MM_deeplocalize026_change_learning_rate_mutated0_MP_False_0.0001,0.6093 (unreliable)
MM_deeplocalize026_change_learning_rate_mutated0_MP_False_0.00055,0.3140 (unreliable)
MM_deeplocalize026_change_learning_rate_mutated0_MP_False_0.00067,0.1625 (reliable)
MM_deeplocalize026_change_learning_rate_mutated0_MP_False_0.0007,0.6375 (unreliable)
MM_deeplocalize026_change_learning_rate_mutated0_MP_False_0.00071,0.5128 (reliable)
MM_deeplocalize026_change_learning_rate_mutated0_MP_False_0.00072,0.4970 (reliable)
MM_deeplocalize026_change_learning_rate_mutated0_MP_False_0.00078,0.2638 (reliable)
MM_deeplocalize026_change_loss_function_mutated0_MP_categorical_crossentropy,0.0000 (reliable)
MM_deeplocalize026_change_loss_function_mutated0_MP_categorical_hinge,0.3844 (unreliable)
MM_deeplocalize026_change_loss_function_mutated0_MP_hinge,0.6166 (unreliable)
MM_deeplocalize026_change_loss_function_mutated0_MP_huber_loss,0.0000 (reliable)
MM_deeplocalize026_change_loss_function_mutated0_MP_kullback_leibler_divergence,1.0000 (unreliable)
MM_deeplocalize026_change_loss_function_mutated0_MP_logcosh,0.2800 (reliable)
MM_deeplocalize026_change_loss_function_mutated0_MP_mean_absolute_error,0.5648 (unreliable)
MM_deeplocalize026_change_loss_function_mutated0_MP_mean_absolute_percentage_error,0.0000 (reliable)
MM_deeplocalize026_change_loss_function_mutated0_MP_mean_squared_error,0.3741 (unreliable)
MM_deeplocalize026_change_loss_function_mutated0_MP_mean_squared_logarithmic_error,0.0000 (reliable)
MM_deeplocalize026_change_loss_function_mutated0_MP_poisson,0.0000 (reliable)
MM_deeplocalize026_change_loss_function_mutated0_MP_squared_hinge,0.0000 (reliable)
MM_deeplocalize026_change_optimisation_function_mutated0_MP_adadelta,0.8099 (unreliable)
MM_deeplocalize026_change_optimisation_function_mutated0_MP_adagrad,0.2080 (unreliable)
MM_deeplocalize026_change_optimisation_function_mutated0_MP_adam,0.5397 (reliable)
MM_deeplocalize026_change_optimisation_function_mutated0_MP_adamax,0.5106 (reliable)
MM_deeplocalize026_change_optimisation_function_mutated0_MP_nadam,0.2727 (reliable)
MM_deeplocalize026_change_optimisation_function_mutated0_MP_sgd,0.7734 (unreliable)
MM_deeplocalize026_change_weights_initialisation_mutated0_MP_constant_1,0.3211 (unreliable)
MM_deeplocalize026_change_weights_initialisation_mutated0_MP_constant_3,0.6930 (reliable)
MM_deeplocalize026_change_weights_initialisation_mutated0_MP_glorot_normal_1,0.7333 (reliable)
MM_deeplocalize026_change_weights_initialisation_mutated0_MP_glorot_normal_3,0.3042 (unreliable)
MM_deeplocalize026_change_weights_initialisation_mutated0_MP_glorot_uniform_1,0.4904 (reliable)
MM_deeplocalize026_change_weights_initialisation_mutated0_MP_glorot_uniform_3,0.6159 (unreliable)
MM_deeplocalize026_change_weights_initialisation_mutated0_MP_he_normal_1,0.1538 (reliable)
MM_deeplocalize026_change_weights_initialisation_mutated0_MP_he_normal_3,0.5991 (unreliable)
MM_deeplocalize026_change_weights_initialisation_mutated0_MP_he_uniform_1,0.6711 (reliable)
MM_deeplocalize026_change_weights_initialisation_mutated0_MP_he_uniform_3,0.3897 (unreliable)
MM_deeplocalize026_change_weights_initialisation_mutated0_MP_identity_1,0.0000 (reliable)
MM_deeplocalize026_change_weights_initialisation_mutated0_MP_identity_3,1.0000 (reliable)
