,FM_deeplocalize034_faulty
MM_deeplocalize034_add_noise_mutated0_MP_100,0.5698 (unreliable)
MM_deeplocalize034_add_noise_mutated0_MP_12.5,0.7500 (unreliable)
MM_deeplocalize034_add_noise_mutated0_MP_25.0,0.7193 (unreliable)
MM_deeplocalize034_add_noise_mutated0_MP_28.12,0.6923 (unreliable)
MM_deeplocalize034_add_noise_mutated0_MP_3.12,0.7014 (unreliable)
MM_deeplocalize034_add_noise_mutated0_MP_31.25,0.7040 (unreliable)
MM_deeplocalize034_add_noise_mutated0_MP_37.5,0.6957 (unreliable)
MM_deeplocalize034_add_noise_mutated0_MP_50.0,0.7480 (unreliable)
MM_deeplocalize034_add_noise_mutated0_MP_6.25,0.6763 (unreliable)
MM_deeplocalize034_add_weights_regularisation_mutated0_MP_l1_1,0.6229 (unreliable)
MM_deeplocalize034_add_weights_regularisation_mutated0_MP_l1_3,0.5515 (unreliable)
MM_deeplocalize034_add_weights_regularisation_mutated0_MP_l1_4,0.4495 (unreliable)
MM_deeplocalize034_add_weights_regularisation_mutated0_MP_l1_6,0.4229 (reliable)
MM_deeplocalize034_add_weights_regularisation_mutated0_MP_l1_9,0.4801 (unreliable)
MM_deeplocalize034_add_weights_regularisation_mutated0_MP_l1_l2_1,0.6185 (unreliable)
MM_deeplocalize034_add_weights_regularisation_mutated0_MP_l1_l2_3,0.5019 (unreliable)
MM_deeplocalize034_add_weights_regularisation_mutated0_MP_l1_l2_4,0.3569 (reliable)
MM_deeplocalize034_add_weights_regularisation_mutated0_MP_l1_l2_6,0.4517 (reliable)
MM_deeplocalize034_add_weights_regularisation_mutated0_MP_l1_l2_9,0.5378 (unreliable)
MM_deeplocalize034_add_weights_regularisation_mutated0_MP_l2_1,0.6860 (unreliable)
MM_deeplocalize034_add_weights_regularisation_mutated0_MP_l2_3,0.7113 (unreliable)
MM_deeplocalize034_add_weights_regularisation_mutated0_MP_l2_4,0.7042 (unreliable)
MM_deeplocalize034_add_weights_regularisation_mutated0_MP_l2_6,0.7063 (unreliable)
MM_deeplocalize034_add_weights_regularisation_mutated0_MP_l2_9,0.7165 (unreliable)
MM_deeplocalize034_change_activation_function_mutated0_MP_elu_1,0.6933 (unreliable)
MM_deeplocalize034_change_activation_function_mutated0_MP_elu_3,0.7226 (unreliable)
MM_deeplocalize034_change_activation_function_mutated0_MP_elu_4,0.6822 (unreliable)
MM_deeplocalize034_change_activation_function_mutated0_MP_elu_6,0.6788 (unreliable)
MM_deeplocalize034_change_activation_function_mutated0_MP_elu_9,0.3747 (unreliable)
MM_deeplocalize034_change_activation_function_mutated0_MP_exponential_1,0.6047 (unreliable)
