,FM_cleanml010_faulty
MM_cleanml010_GF_0.01_1,0.0000 (reliable)
MM_cleanml010_GF_0.1_1,0.2222 (reliable)
MM_cleanml010_GF_0.2_1,0.4545 (reliable)
MM_cleanml010_GF_0.6_1,0.1875 (reliable)
MM_cleanml010_GF_1.0_1,0.2414 (reliable)
MM_cleanml010_LA_0.01_1,0.5809 (reliable)
MM_cleanml010_NAI_0.01_1,0.1667 (reliable)
MM_cleanml010_NAI_0.1_1,0.2353 (reliable)
MM_cleanml010_NAI_0.2_1,0.4118 (reliable)
MM_cleanml010_NEB_0.01_1,0.0000 (reliable)
MM_cleanml010_NS_0.01_1,0.7500 (reliable)
MM_cleanml010_WS_0.01_1,0.5000 (reliable)
MM_cleanml010_WS_0.1_1,0.2727 (reliable)
