,FM_defect4ml026_faulty
MM_defect4ml026_original0_GF_0.01_1,0.9802 (reliable)
MM_defect4ml026_original0_LA_0.01_1,0.9283 (unreliable)
MM_defect4ml026_original0_LD_0.01_1,0.9851 (reliable)
MM_defect4ml026_original0_LR_0.01_1,0.9851 (reliable)
MM_defect4ml026_original0_NAI_0.01_1,0.9837 (reliable)
MM_defect4ml026_original0_NEB_0.01_1,0.9902 (reliable)
MM_defect4ml026_original0_NS_0.01_1,0.9908 (reliable)
MM_defect4ml026_original0_WS_0.01_1,0.6250 (reliable)
MM_defect4ml026_original1_GF_0.01_1,0.9905 (reliable)
MM_defect4ml026_original1_LA_0.01_1,0.9425 (unreliable)
MM_defect4ml026_original1_LD_0.01_1,0.9824 (reliable)
MM_defect4ml026_original1_LR_0.01_1,0.9824 (reliable)
MM_defect4ml026_original1_NAI_0.01_1,0.7376 (reliable)
MM_defect4ml026_original1_NEB_0.01_1,0.7485 (reliable)
MM_defect4ml026_original1_NS_0.01_1,0.9951 (reliable)
MM_defect4ml026_original1_WS_0.01_1,0.9904 (reliable)
MM_defect4ml026_original2_GF_0.01_1,0.9835 (reliable)
MM_defect4ml026_original2_LA_0.01_1,0.9347 (unreliable)
MM_defect4ml026_original2_LD_0.01_1,0.9874 (reliable)
MM_defect4ml026_original2_LR_0.01_1,0.9874 (reliable)
MM_defect4ml026_original2_NAI_0.01_1,0.9748 (reliable)
MM_defect4ml026_original2_NEB_0.01_1,0.9851 (reliable)
MM_defect4ml026_original2_NS_0.01_1,0.9697 (reliable)
MM_defect4ml026_original2_WS_0.01_1,0.9597 (reliable)
MM_defect4ml026_original3_GF_0.01_1,0.9497 (reliable)
MM_defect4ml026_original3_LA_0.01_1,0.8871 (reliable)
MM_defect4ml026_original3_LD_0.01_1,0.9563 (reliable)
MM_defect4ml026_original3_LR_0.01_1,0.9563 (reliable)
MM_defect4ml026_original3_NAI_0.01_1,0.9309 (unreliable)
MM_defect4ml026_original3_NEB_0.01_1,0.9752 (reliable)
MM_defect4ml026_original3_NS_0.01_1,0.9766 (reliable)
MM_defect4ml026_original3_WS_0.01_1,0.9746 (reliable)
MM_defect4ml026_original4_GF_0.01_1,0.9676 (reliable)
MM_defect4ml026_original4_LA_0.01_1,0.8811 (unreliable)
MM_defect4ml026_original4_LD_0.01_1,0.9712 (reliable)
MM_defect4ml026_original4_LR_0.01_1,0.9712 (reliable)
MM_defect4ml026_original4_NAI_0.01_1,0.9171 (reliable)
MM_defect4ml026_original4_NEB_0.01_1,0.9475 (reliable)
MM_defect4ml026_original4_NS_0.01_1,0.9692 (reliable)
MM_defect4ml026_original4_WS_0.01_1,0.9673 (reliable)
