,FM_deepfd022_faulty
MM_deepfd022_original0_GF_0.01_1,0.2121 (reliable)
MM_deepfd022_original0_LD_0.01_1,0.2266 (reliable)
MM_deepfd022_original0_LR_0.01_1,0.5000 (reliable)
MM_deepfd022_original0_NAI_0.01_1,0.2222 (reliable)
MM_deepfd022_original0_NEB_0.01_1,0.2385 (reliable)
MM_deepfd022_original0_NS_0.01_1,0.2180 (reliable)
MM_deepfd022_original0_WS_0.01_1,0.2180 (reliable)
MM_deepfd022_original1_GF_0.01_1,0.4972 (reliable)
MM_deepfd022_original1_LA_0.01_1,0.4826 (reliable)
MM_deepfd022_original1_LD_0.01_1,0.4826 (reliable)
MM_deepfd022_original1_LR_0.01_1,0.3191 (reliable)
MM_deepfd022_original1_NAI_0.01_1,0.5758 (reliable)
MM_deepfd022_original1_NEB_0.01_1,0.4971 (reliable)
MM_deepfd022_original1_NS_0.01_1,0.4737 (reliable)
MM_deepfd022_original1_WS_0.01_1,0.5054 (reliable)
MM_deepfd022_original2_GF_0.01_1,0.2781 (reliable)
MM_deepfd022_original2_LA_0.01_1,0.5219 (unreliable)
MM_deepfd022_original2_LD_0.01_1,0.2781 (reliable)
MM_deepfd022_original2_LR_0.01_1,0.0161 (reliable)
MM_deepfd022_original2_NAI_0.01_1,0.2810 (reliable)
MM_deepfd022_original2_NEB_0.01_1,0.2829 (reliable)
MM_deepfd022_original2_NS_0.01_1,0.2968 (reliable)
MM_deepfd022_original2_WS_0.01_1,0.2930 (reliable)
MM_deepfd022_original3_GF_0.01_1,0.8038 (reliable)
MM_deepfd022_original3_LA_0.01_1,0.8713 (reliable)
MM_deepfd022_original3_LD_0.01_1,0.8295 (reliable)
MM_deepfd022_original3_LR_0.01_1,0.8125 (reliable)
MM_deepfd022_original3_NAI_0.01_1,0.7982 (reliable)
MM_deepfd022_original3_NEB_0.01_1,0.8346 (reliable)
MM_deepfd022_original3_NS_0.01_1,0.8308 (reliable)
MM_deepfd022_original4_GF_0.01_1,0.2573 (reliable)
MM_deepfd022_original4_LA_0.01_1,0.2333 (reliable)
MM_deepfd022_original4_LD_0.01_1,0.2705 (reliable)
MM_deepfd022_original4_LR_0.01_1,0.2139 (reliable)
MM_deepfd022_original4_NAI_0.01_1,0.3059 (reliable)
MM_deepfd022_original4_NEB_0.01_1,0.3223 (reliable)
MM_deepfd022_original4_NS_0.01_1,0.2705 (reliable)
MM_deepfd022_original4_WS_0.01_1,0.2705 (reliable)
