,FM_cleanml010_faulty
MM_cleanml010_add_noise_mutated0_MP_100,0.3383 (reliable)
MM_cleanml010_add_noise_mutated0_MP_12.5,0.4474 (reliable)
MM_cleanml010_add_noise_mutated0_MP_18.75,0.4730 (reliable)
MM_cleanml010_add_noise_mutated0_MP_21.88,0.4068 (reliable)
MM_cleanml010_add_noise_mutated0_MP_25.0,0.5610 (reliable)
MM_cleanml010_add_noise_mutated0_MP_37.5,0.3846 (reliable)
MM_cleanml010_add_noise_mutated0_MP_40.62,0.4932 (reliable)
MM_cleanml010_add_noise_mutated0_MP_43.75,0.4366 (reliable)
MM_cleanml010_add_noise_mutated0_MP_50.0,0.5357 (reliable)
MM_cleanml010_add_weights_regularisation_mutated0_MP_l1_1,0.3700 (reliable)
MM_cleanml010_add_weights_regularisation_mutated0_MP_l1_2,0.1818 (reliable)
MM_cleanml010_add_weights_regularisation_mutated0_MP_l1_l2_1,0.3636 (reliable)
MM_cleanml010_add_weights_regularisation_mutated0_MP_l1_l2_2,0.1786 (reliable)
MM_cleanml010_add_weights_regularisation_mutated0_MP_l2_1,0.3617 (reliable)
MM_cleanml010_add_weights_regularisation_mutated0_MP_l2_2,0.3125 (reliable)
MM_cleanml010_change_activation_function_mutated0_MP_elu_1,0.3273 (reliable)
MM_cleanml010_change_activation_function_mutated0_MP_elu_2,0.4069 (unreliable)
MM_cleanml010_change_activation_function_mutated0_MP_exponential_1,0.2192 (reliable)
MM_cleanml010_change_activation_function_mutated0_MP_exponential_2,0.0664 (reliable)
MM_cleanml010_change_activation_function_mutated0_MP_hard_sigmoid_1,0.2459 (reliable)
MM_cleanml010_change_activation_function_mutated0_MP_hard_sigmoid_2,0.1609 (reliable)
MM_cleanml010_change_activation_function_mutated0_MP_linear_1,0.1600 (reliable)
MM_cleanml010_change_activation_function_mutated0_MP_linear_2,0.4213 (unreliable)
MM_cleanml010_change_activation_function_mutated0_MP_relu_1,0.2444 (reliable)
MM_cleanml010_change_activation_function_mutated0_MP_relu_2,0.4078 (unreliable)
MM_cleanml010_change_activation_function_mutated0_MP_selu_1,0.2449 (reliable)
MM_cleanml010_change_activation_function_mutated0_MP_selu_2,0.4018 (unreliable)
MM_cleanml010_change_activation_function_mutated0_MP_sigmoid_1,0.6667 (reliable)
MM_cleanml010_change_activation_function_mutated0_MP_sigmoid_2,0.4237 (reliable)
MM_cleanml010_change_activation_function_mutated0_MP_softmax_1,0.1724 (reliable)
MM_cleanml010_change_activation_function_mutated0_MP_softmax_2,0.4807 (reliable)
MM_cleanml010_change_activation_function_mutated0_MP_softplus_1,0.2889 (reliable)
MM_cleanml010_change_activation_function_mutated0_MP_softplus_2,0.0806 (reliable)
MM_cleanml010_change_activation_function_mutated0_MP_softsign_1,0.1800 (reliable)
MM_cleanml010_change_activation_function_mutated0_MP_softsign_2,0.4721 (reliable)
MM_cleanml010_change_activation_function_mutated0_MP_tanh_1,0.1333 (reliable)
MM_cleanml010_change_activation_function_mutated0_MP_tanh_2,0.4804 (reliable)
MM_cleanml010_change_batch_size_mutated0_MP_100_100,0.1429 (reliable)
MM_cleanml010_change_batch_size_mutated0_MP_400_400,0.2899 (reliable)
MM_cleanml010_change_batch_size_mutated0_MP_50_50,0.1707 (reliable)
MM_cleanml010_change_batch_size_mutated0_MP_800_800,0.3684 (reliable)
MM_cleanml010_change_epochs_mutated0_MP_1,0.3250 (reliable)
MM_cleanml010_change_epochs_mutated0_MP_100,0.5000 (reliable)
MM_cleanml010_change_epochs_mutated0_MP_150,0.5686 (reliable)
MM_cleanml010_change_epochs_mutated0_MP_175,0.3043 (reliable)
MM_cleanml010_change_epochs_mutated0_MP_182,0.4314 (reliable)
MM_cleanml010_change_epochs_mutated0_MP_183,0.4390 (reliable)
MM_cleanml010_change_epochs_mutated0_MP_184,0.4565 (reliable)
MM_cleanml010_change_epochs_mutated0_MP_185,0.2642 (reliable)
MM_cleanml010_change_epochs_mutated0_MP_188,0.3036 (reliable)
MM_cleanml010_change_epochs_mutated0_MP_50,0.5259 (reliable)
