,FM_deeplocalize026_faulty
MM_deeplocalize026_original0_GF_0.01_1,0.3924050632911392
MM_deeplocalize026_original0_LD_0.01_1,0.0
MM_deeplocalize026_original0_LR_0.01_1,1.0
MM_deeplocalize026_original1_GF_0.01_1,1.0
MM_deeplocalize026_original1_LA_0.01_1,0.7911392405063291
MM_deeplocalize026_original1_LD_0.01_1,1.0
MM_deeplocalize026_original1_LR_0.01_1,0.0
MM_deeplocalize026_original2_GF_0.01_1,0.3577235772357723
MM_deeplocalize026_original2_LD_0.01_1,0.0
MM_deeplocalize026_original2_LR_0.01_1,1.0
MM_deeplocalize026_original3_GF_0.01_1,0.0
MM_deeplocalize026_original3_LA_0.01_1,0.0
MM_deeplocalize026_original3_LD_0.01_1,0.0
MM_deeplocalize026_original3_LR_0.01_1,1.0
MM_deeplocalize026_original4_GF_0.01_1,0.7857142857142857
MM_deeplocalize026_original4_LA_0.01_1,0.5129032258064515
MM_deeplocalize026_original4_LD_0.01_1,1.0
MM_deeplocalize026_original4_LR_0.01_1,0.0
