,FM_cleanml018_faulty
MM_cleanml018_add_noise_mutated0_MP_100,0.3111 (reliable)
MM_cleanml018_add_noise_mutated0_MP_50.0,0.4721 (reliable)
MM_cleanml018_add_noise_mutated0_MP_75.0,0.3924 (reliable)
MM_cleanml018_add_noise_mutated0_MP_87.5,0.3345 (reliable)
MM_cleanml018_add_noise_mutated0_MP_93.75,0.3090 (reliable)
MM_cleanml018_add_noise_mutated0_MP_96.88,0.3250 (reliable)
MM_cleanml018_add_weights_regularisation_mutated0_MP_l1_1,0.3222 (reliable)
MM_cleanml018_add_weights_regularisation_mutated0_MP_l1_2,0.5833 (reliable)
MM_cleanml018_add_weights_regularisation_mutated0_MP_l1_l2_1,0.3258 (reliable)
MM_cleanml018_add_weights_regularisation_mutated0_MP_l1_l2_2,0.6034 (reliable)
MM_cleanml018_add_weights_regularisation_mutated0_MP_l2_1,0.4854 (reliable)
MM_cleanml018_add_weights_regularisation_mutated0_MP_l2_2,0.6276 (reliable)
MM_cleanml018_change_activation_function_mutated0_MP_elu_1,0.4881 (reliable)
MM_cleanml018_change_activation_function_mutated0_MP_elu_2,0.2361 (reliable)
MM_cleanml018_change_activation_function_mutated0_MP_exponential_1,0.4088 (reliable)
MM_cleanml018_change_activation_function_mutated0_MP_exponential_2,0.2321 (reliable)
MM_cleanml018_change_activation_function_mutated0_MP_hard_sigmoid_1,0.3902 (reliable)
MM_cleanml018_change_activation_function_mutated0_MP_hard_sigmoid_2,0.4918 (reliable)
MM_cleanml018_change_activation_function_mutated0_MP_linear_1,0.3160 (reliable)
MM_cleanml018_change_activation_function_mutated0_MP_linear_2,0.2281 (reliable)
MM_cleanml018_change_activation_function_mutated0_MP_relu_1,0.5854 (reliable)
MM_cleanml018_change_activation_function_mutated0_MP_relu_2,0.2375 (reliable)
MM_cleanml018_change_activation_function_mutated0_MP_selu_1,0.4485 (reliable)
MM_cleanml018_change_activation_function_mutated0_MP_selu_2,0.2268 (reliable)
MM_cleanml018_change_activation_function_mutated0_MP_sigmoid_1,0.4888 (reliable)
MM_cleanml018_change_activation_function_mutated0_MP_sigmoid_2,0.5865 (reliable)
MM_cleanml018_change_activation_function_mutated0_MP_softmax_1,0.3794 (reliable)
MM_cleanml018_change_activation_function_mutated0_MP_softmax_2,0.1069 (reliable)
MM_cleanml018_change_activation_function_mutated0_MP_softplus_1,0.5551 (reliable)
MM_cleanml018_change_activation_function_mutated0_MP_softplus_2,0.2865 (reliable)
MM_cleanml018_change_activation_function_mutated0_MP_softsign_1,0.5660 (reliable)
MM_cleanml018_change_activation_function_mutated0_MP_softsign_2,0.2197 (reliable)
MM_cleanml018_change_activation_function_mutated0_MP_tanh_1,0.5427 (reliable)
MM_cleanml018_change_activation_function_mutated0_MP_tanh_2,0.2175 (reliable)
MM_cleanml018_change_batch_size_mutated0_MP_100_100,0.5820 (reliable)
MM_cleanml018_change_batch_size_mutated0_MP_400_400,0.6710 (reliable)
MM_cleanml018_change_batch_size_mutated0_MP_50_50,0.5917 (reliable)
MM_cleanml018_change_batch_size_mutated0_MP_800_800,0.6357 (reliable)
MM_cleanml018_change_epochs_mutated0_MP_1,0.1652 (reliable)
MM_cleanml018_change_epochs_mutated0_MP_100,0.5904 (reliable)
MM_cleanml018_change_epochs_mutated0_MP_150,0.6609 (reliable)
MM_cleanml018_change_epochs_mutated0_MP_175,0.5934 (reliable)
MM_cleanml018_change_epochs_mutated0_MP_188,0.5965 (reliable)
MM_cleanml018_change_epochs_mutated0_MP_189,0.6444 (reliable)
MM_cleanml018_change_epochs_mutated0_MP_190,0.6186 (unreliable)
MM_cleanml018_change_epochs_mutated0_MP_191,0.6406 (reliable)
MM_cleanml018_change_epochs_mutated0_MP_194,0.6466 (reliable)
MM_cleanml018_change_label_mutated0_MP_100,0.1069 (reliable)
MM_cleanml018_change_label_mutated0_MP_12.5,0.3578 (unreliable)
MM_cleanml018_change_label_mutated0_MP_25.0,0.2460 (reliable)
MM_cleanml018_change_label_mutated0_MP_3.12,0.5057 (unreliable)
MM_cleanml018_change_label_mutated0_MP_50.0,0.1669 (reliable)
MM_cleanml018_change_label_mutated0_MP_6.25,0.4621 (reliable)
MM_cleanml018_change_learning_rate_mutated0_MP_False_0.0001,0.4752 (reliable)
MM_cleanml018_change_learning_rate_mutated0_MP_False_0.00055,0.6071 (reliable)
MM_cleanml018_change_learning_rate_mutated0_MP_False_0.00078,0.6103 (reliable)
MM_cleanml018_change_learning_rate_mutated0_MP_False_0.00089,0.5837 (reliable)
MM_cleanml018_change_learning_rate_mutated0_MP_False_0.00092,0.6303 (reliable)
MM_cleanml018_change_learning_rate_mutated0_MP_False_0.00093,0.6197 (reliable)
MM_cleanml018_change_learning_rate_mutated0_MP_False_0.00094,0.6435 (reliable)
MM_cleanml018_change_loss_function_mutated0_MP_categorical_crossentropy,0.1409 (reliable)
MM_cleanml018_change_loss_function_mutated0_MP_categorical_hinge,0.6008 (reliable)
MM_cleanml018_change_loss_function_mutated0_MP_hinge,0.5803 (reliable)
MM_cleanml018_change_loss_function_mutated0_MP_huber_loss,0.5257 (reliable)
MM_cleanml018_change_loss_function_mutated0_MP_kullback_leibler_divergence,0.1357 (reliable)
MM_cleanml018_change_loss_function_mutated0_MP_logcosh,0.5238 (reliable)
MM_cleanml018_change_loss_function_mutated0_MP_mean_absolute_error,0.6139 (reliable)
MM_cleanml018_change_loss_function_mutated0_MP_mean_absolute_percentage_error,0.1562 (reliable)
MM_cleanml018_change_loss_function_mutated0_MP_mean_squared_error,0.5478 (reliable)
MM_cleanml018_change_loss_function_mutated0_MP_mean_squared_logarithmic_error,0.6225 (reliable)
MM_cleanml018_change_loss_function_mutated0_MP_poisson,0.4961 (reliable)
MM_cleanml018_change_loss_function_mutated0_MP_squared_hinge,0.3782 (reliable)
MM_cleanml018_change_optimisation_function_mutated0_MP_adadelta,0.1536 (reliable)
MM_cleanml018_change_optimisation_function_mutated0_MP_adagrad,0.2204 (reliable)
MM_cleanml018_change_optimisation_function_mutated0_MP_adamax,0.5320 (reliable)
