,FM_cleanml007_faulty
MM_cleanml007_add_noise_mutated0_MP_100,0.6307 (reliable)
MM_cleanml007_add_noise_mutated0_MP_50.0,0.5489 (reliable)
MM_cleanml007_add_noise_mutated0_MP_75.0,0.5926 (reliable)
MM_cleanml007_add_noise_mutated0_MP_87.5,0.5911 (reliable)
MM_cleanml007_add_noise_mutated0_MP_93.75,0.6047 (reliable)
MM_cleanml007_add_noise_mutated0_MP_96.88,0.5969 (reliable)
MM_cleanml007_add_weights_regularisation_mutated0_MP_l1_1,0.5889 (reliable)
MM_cleanml007_add_weights_regularisation_mutated0_MP_l1_2,0.5858 (reliable)
MM_cleanml007_add_weights_regularisation_mutated0_MP_l1_l2_1,0.5779 (reliable)
MM_cleanml007_add_weights_regularisation_mutated0_MP_l1_l2_2,0.6177 (reliable)
MM_cleanml007_add_weights_regularisation_mutated0_MP_l2_1,0.5777 (reliable)
MM_cleanml007_add_weights_regularisation_mutated0_MP_l2_2,0.6069 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_elu_1,0.5315 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_elu_2,0.5115 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_exponential_1,0.4740 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_hard_sigmoid_1,0.5829 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_hard_sigmoid_2,0.5420 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_linear_1,0.5853 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_linear_2,0.5341 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_relu_1,0.5271 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_relu_2,0.5743 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_selu_1,0.5307 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_selu_2,0.4831 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_sigmoid_1,0.5776 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_sigmoid_2,0.5403 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_softmax_1,0.5309 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_softmax_2,0.4082 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_softplus_1,0.4840 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_softplus_2,0.4762 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_softsign_1,0.5745 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_softsign_2,0.6005 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_tanh_1,0.5675 (reliable)
MM_cleanml007_change_activation_function_mutated0_MP_tanh_2,0.5882 (reliable)
MM_cleanml007_change_batch_size_mutated0_MP_100_100,0.5662 (reliable)
MM_cleanml007_change_batch_size_mutated0_MP_400_400,0.5544 (reliable)
MM_cleanml007_change_batch_size_mutated0_MP_50_50,0.5478 (reliable)
MM_cleanml007_change_batch_size_mutated0_MP_800_800,0.5739 (reliable)
MM_cleanml007_change_epochs_mutated0_MP_1,0.6181 (reliable)
MM_cleanml007_change_epochs_mutated0_MP_100,0.5929 (reliable)
MM_cleanml007_change_epochs_mutated0_MP_150,0.5387 (reliable)
MM_cleanml007_change_epochs_mutated0_MP_175,0.5409 (reliable)
MM_cleanml007_change_epochs_mutated0_MP_178,0.5547 (reliable)
MM_cleanml007_change_epochs_mutated0_MP_180,0.5338 (reliable)
MM_cleanml007_change_epochs_mutated0_MP_181,0.5344 (reliable)
MM_cleanml007_change_epochs_mutated0_MP_182,0.5704 (reliable)
MM_cleanml007_change_epochs_mutated0_MP_188,0.5529 (reliable)
MM_cleanml007_change_label_mutated0_MP_100,0.2338 (reliable)
MM_cleanml007_change_label_mutated0_MP_12.5,0.4127 (reliable)
MM_cleanml007_change_label_mutated0_MP_25.0,0.3731 (reliable)
MM_cleanml007_change_label_mutated0_MP_3.12,0.5020 (reliable)
