,FM_defect4ml048_faulty
MM_defect4ml048_add_noise_mutated0_MP_100,0.4252 (reliable)
MM_defect4ml048_add_noise_mutated0_MP_50.0,0.6292 (reliable)
MM_defect4ml048_add_noise_mutated0_MP_56.25,0.6517 (reliable)
MM_defect4ml048_add_noise_mutated0_MP_59.38,0.6185 (reliable)
MM_defect4ml048_add_noise_mutated0_MP_62.5,0.6151 (reliable)
MM_defect4ml048_add_noise_mutated0_MP_75.0,0.6233 (reliable)
MM_defect4ml048_add_weights_regularisation_mutated0_MP_l1_1,0.6708 (reliable)
MM_defect4ml048_add_weights_regularisation_mutated0_MP_l1_10,0.5705 (reliable)
MM_defect4ml048_add_weights_regularisation_mutated0_MP_l1_14,0.3623 (reliable)
MM_defect4ml048_add_weights_regularisation_mutated0_MP_l1_16,0.5631 (reliable)
MM_defect4ml048_add_weights_regularisation_mutated0_MP_l1_2,0.5878 (reliable)
MM_defect4ml048_add_weights_regularisation_mutated0_MP_l1_5,0.5560 (reliable)
MM_defect4ml048_add_weights_regularisation_mutated0_MP_l1_6,0.5284 (reliable)
MM_defect4ml048_add_weights_regularisation_mutated0_MP_l1_9,0.5920 (reliable)
MM_defect4ml048_add_weights_regularisation_mutated0_MP_l1_l2_1,0.6472 (reliable)
MM_defect4ml048_add_weights_regularisation_mutated0_MP_l1_l2_10,0.5517 (reliable)
MM_defect4ml048_add_weights_regularisation_mutated0_MP_l1_l2_14,0.3929 (reliable)
MM_defect4ml048_add_weights_regularisation_mutated0_MP_l1_l2_16,0.5848 (reliable)
MM_defect4ml048_add_weights_regularisation_mutated0_MP_l1_l2_2,0.5873 (reliable)
MM_defect4ml048_add_weights_regularisation_mutated0_MP_l1_l2_5,0.4864 (reliable)
MM_defect4ml048_add_weights_regularisation_mutated0_MP_l1_l2_6,0.5162 (reliable)
MM_defect4ml048_add_weights_regularisation_mutated0_MP_l1_l2_9,0.5789 (reliable)
MM_defect4ml048_add_weights_regularisation_mutated0_MP_l2_1,0.6331 (reliable)
MM_defect4ml048_add_weights_regularisation_mutated0_MP_l2_10,0.6246 (reliable)
MM_defect4ml048_add_weights_regularisation_mutated0_MP_l2_14,0.6090 (reliable)
MM_defect4ml048_add_weights_regularisation_mutated0_MP_l2_16,0.6412 (reliable)
MM_defect4ml048_add_weights_regularisation_mutated0_MP_l2_2,0.6596 (reliable)
MM_defect4ml048_add_weights_regularisation_mutated0_MP_l2_5,0.6212 (reliable)
MM_defect4ml048_add_weights_regularisation_mutated0_MP_l2_6,0.6265 (reliable)
MM_defect4ml048_add_weights_regularisation_mutated0_MP_l2_9,0.6229 (reliable)
MM_defect4ml048_change_activation_function_mutated0_MP_elu_1,0.6330 (reliable)
MM_defect4ml048_change_activation_function_mutated0_MP_elu_10,0.6593 (reliable)
MM_defect4ml048_change_activation_function_mutated0_MP_elu_14,0.6551 (reliable)
MM_defect4ml048_change_activation_function_mutated0_MP_elu_16,0.2938 (reliable)
MM_defect4ml048_change_activation_function_mutated0_MP_elu_2,0.6682 (reliable)
MM_defect4ml048_change_activation_function_mutated0_MP_elu_5,0.6751 (reliable)
MM_defect4ml048_change_activation_function_mutated0_MP_elu_6,0.6766 (reliable)
MM_defect4ml048_change_activation_function_mutated0_MP_elu_9,0.6904 (reliable)
MM_defect4ml048_change_activation_function_mutated0_MP_exponential_1,0.5533 (reliable)
MM_defect4ml048_change_activation_function_mutated0_MP_exponential_10,0.3324 (reliable)
MM_defect4ml048_change_activation_function_mutated0_MP_exponential_14,0.5763 (reliable)
MM_defect4ml048_change_activation_function_mutated0_MP_exponential_16,0.6722 (reliable)
MM_defect4ml048_change_activation_function_mutated0_MP_exponential_2,0.4797 (reliable)
MM_defect4ml048_change_activation_function_mutated0_MP_exponential_5,0.6116 (reliable)
MM_defect4ml048_change_activation_function_mutated0_MP_exponential_6,0.5576 (reliable)
MM_defect4ml048_change_activation_function_mutated0_MP_exponential_9,0.6366 (reliable)
MM_defect4ml048_change_activation_function_mutated0_MP_hard_sigmoid_1,0.4816 (reliable)
MM_defect4ml048_change_activation_function_mutated0_MP_hard_sigmoid_10,0.4520 (reliable)
MM_defect4ml048_change_activation_function_mutated0_MP_hard_sigmoid_14,0.5875 (reliable)
MM_defect4ml048_change_activation_function_mutated0_MP_hard_sigmoid_16,0.3702 (reliable)
MM_defect4ml048_change_activation_function_mutated0_MP_hard_sigmoid_2,0.4486 (reliable)
