,FM_defect4ml074_faulty
MM_defect4ml074_change_loss_function_mutated0_MP_mean_absolute_error,0.9800 (unreliable)
MM_defect4ml074_change_loss_function_mutated0_MP_mean_absolute_percentage_error,0.9800 (unreliable)
MM_defect4ml074_change_loss_function_mutated0_MP_mean_squared_logarithmic_error,0.9800 (unreliable)
MM_defect4ml074_change_loss_function_mutated0_MP_poisson,0.9800 (unreliable)
MM_defect4ml074_change_loss_function_mutated0_MP_squared_hinge,0.9800 (unreliable)
MM_defect4ml074_change_optimisation_function_mutated0_MP_adadelta,0.9800 (unreliable)
MM_defect4ml074_change_optimisation_function_mutated0_MP_adagrad,0.9800 (unreliable)
MM_defect4ml074_change_optimisation_function_mutated0_MP_adamax,0.9800 (unreliable)
MM_defect4ml074_change_optimisation_function_mutated0_MP_nadam,0.9800 (unreliable)
MM_defect4ml074_change_optimisation_function_mutated0_MP_rmsprop,0.9800 (unreliable)
MM_defect4ml074_change_optimisation_function_mutated0_MP_sgd,0.9796 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_constant_1,0.9730 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_constant_2,0.9730 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_constant_3,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_glorot_normal_1,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_glorot_normal_2,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_glorot_normal_3,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_glorot_uniform_1,0.9796 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_glorot_uniform_2,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_glorot_uniform_3,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_he_normal_1,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_he_normal_2,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_he_normal_3,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_he_uniform_1,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_he_uniform_2,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_he_uniform_3,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_lecun_normal_1,0.9796 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_lecun_normal_2,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_lecun_normal_3,0.9792 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_lecun_uniform_1,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_lecun_uniform_2,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_lecun_uniform_3,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_ones_1,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_ones_2,0.9767 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_ones_3,0.9756 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_orthogonal_1,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_orthogonal_2,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_orthogonal_3,1.0000 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_random_normal_1,0.9796 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_random_normal_2,0.9756 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_random_normal_3,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_random_uniform_1,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_random_uniform_2,0.9767 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_random_uniform_3,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_truncated_normal_1,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_truncated_normal_2,0.9796 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_truncated_normal_3,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_variance_scaling_1,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_variance_scaling_2,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_variance_scaling_3,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_zeros_1,0.9730 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_zeros_2,0.9730 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_zeros_3,0.9800 (unreliable)
MM_defect4ml074_disable_batching_mutated0_MP,0.9800 (unreliable)
MM_defect4ml074_remove_activation_function_mutated0_MP_1,0.9800 (unreliable)
MM_defect4ml074_remove_activation_function_mutated0_MP_2,0.9800 (unreliable)
MM_defect4ml074_remove_activation_function_mutated0_MP_3,0.9800 (unreliable)
MM_defect4ml074_remove_bias_mutated0_MP_1,0.9730 (unreliable)
MM_defect4ml074_remove_bias_mutated0_MP_2,0.9800 (unreliable)
MM_defect4ml074_remove_bias_mutated0_MP_3,0.9796 (unreliable)
