,FM_defect4ml010_faulty
MM_defect4ml010_GF_0.01_1,0.9825 (unreliable)
MM_defect4ml010_GF_0.1_1,0.8022 (unreliable)
MM_defect4ml010_GF_0.2_1,0.8087 (unreliable)
MM_defect4ml010_GF_0.6_1,0.7944 (unreliable)
MM_defect4ml010_GF_1.0_1,0.7801 (unreliable)
MM_defect4ml010_LA_0.01_1,0.8376 (unreliable)
MM_defect4ml010_LD_0.01_1,0.0000 (unreliable)
MM_defect4ml010_LR_0.01_1,0.7954 (unreliable)
MM_defect4ml010_NAI_0.01_1,0.8729 (unreliable)
MM_defect4ml010_NAI_0.1_1,0.7861 (unreliable)
MM_defect4ml010_NAI_0.2_1,0.7861 (unreliable)
MM_defect4ml010_NAI_0.6_1,0.7960 (unreliable)
MM_defect4ml010_NEB_0.01_1,0.9216 (unreliable)
MM_defect4ml010_NEB_0.1_1,0.8283 (unreliable)
MM_defect4ml010_NEB_0.2_1,0.8198 (unreliable)
MM_defect4ml010_NEB_0.6_1,0.7905 (unreliable)
MM_defect4ml010_NS_0.01_1,0.8947 (unreliable)
MM_defect4ml010_NS_0.1_1,0.8168 (unreliable)
MM_defect4ml010_NS_0.2_1,0.7705 (unreliable)
MM_defect4ml010_NS_0.6_1,0.7721 (unreliable)
MM_defect4ml010_NS_1.0_1,0.7725 (unreliable)
MM_defect4ml010_WS_0.01_1,0.8931 (unreliable)
MM_defect4ml010_WS_0.1_1,0.8394 (unreliable)
MM_defect4ml010_WS_0.2_1,0.8470 (unreliable)
