,FM_cleanml008_faulty
MM_cleanml008_change_weights_initialisation_mutated0_MP_constant_1,0.2357 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_constant_2,0.5441 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_glorot_normal_1,0.5877 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_glorot_normal_2,0.5393 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_glorot_uniform_1,0.5676 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_glorot_uniform_2,0.5752 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_he_normal_1,0.5721 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_he_normal_2,0.5449 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_he_uniform_1,0.5672 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_he_uniform_2,0.5698 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_identity_1,0.5116 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_identity_2,0.4301 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_lecun_normal_1,0.5676 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_lecun_normal_2,0.5836 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_lecun_uniform_1,0.5338 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_lecun_uniform_2,0.5688 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_ones_1,0.3565 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_ones_2,0.3250 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_orthogonal_1,0.5756 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_orthogonal_2,0.5485 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_random_normal_1,0.5714 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_random_normal_2,0.5530 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_random_uniform_1,0.5844 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_random_uniform_2,0.5808 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_truncated_normal_1,0.5853 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_truncated_normal_2,0.5487 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_variance_scaling_1,0.5553 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_variance_scaling_2,0.5797 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_zeros_1,0.2357 (reliable)
MM_cleanml008_change_weights_initialisation_mutated0_MP_zeros_2,0.5710 (reliable)
MM_cleanml008_delete_training_data_mutated0_MP_24.75,0.5015 (reliable)
MM_cleanml008_delete_training_data_mutated0_MP_37.12,0.4826 (reliable)
MM_cleanml008_delete_training_data_mutated0_MP_43.31,0.4730 (reliable)
MM_cleanml008_delete_training_data_mutated0_MP_46.41,0.4523 (reliable)
MM_cleanml008_delete_training_data_mutated0_MP_49.5,0.4652 (reliable)
MM_cleanml008_delete_training_data_mutated0_MP_61.88,0.4233 (reliable)
MM_cleanml008_delete_training_data_mutated0_MP_68.06,0.4294 (reliable)
MM_cleanml008_delete_training_data_mutated0_MP_71.16,0.3827 (reliable)
MM_cleanml008_delete_training_data_mutated0_MP_74.25,0.3986 (reliable)
MM_cleanml008_delete_training_data_mutated0_MP_99,0.2593 (reliable)
MM_cleanml008_disable_batching_mutated0_MP,0.5580 (reliable)
MM_cleanml008_make_output_classes_overlap_mutated0_MP_100,0.1329 (reliable)
