,FM_deepfd016_faulty
MM_deepfd016_change_weights_initialisation_mutated0_MP_lecun_uniform_1,0.0000 (unreliable)
MM_deepfd016_change_weights_initialisation_mutated0_MP_lecun_uniform_2,0.0000 (reliable)
MM_deepfd016_change_weights_initialisation_mutated0_MP_ones_1,0.6923 (unreliable)
MM_deepfd016_change_weights_initialisation_mutated0_MP_ones_2,0.0000 (unreliable)
MM_deepfd016_change_weights_initialisation_mutated0_MP_orthogonal_1,0.0000 (reliable)
MM_deepfd016_change_weights_initialisation_mutated0_MP_orthogonal_2,0.0000 (unreliable)
MM_deepfd016_change_weights_initialisation_mutated0_MP_random_normal_1,0.0000 (reliable)
MM_deepfd016_change_weights_initialisation_mutated0_MP_random_normal_2,0.0000 (reliable)
MM_deepfd016_change_weights_initialisation_mutated0_MP_random_uniform_1,0.0000 (unreliable)
MM_deepfd016_change_weights_initialisation_mutated0_MP_random_uniform_2,0.0000 (reliable)
MM_deepfd016_change_weights_initialisation_mutated0_MP_truncated_normal_1,0.0000 (unreliable)
MM_deepfd016_change_weights_initialisation_mutated0_MP_truncated_normal_2,0.0000 (reliable)
MM_deepfd016_change_weights_initialisation_mutated0_MP_variance_scaling_1,0.6667 (reliable)
MM_deepfd016_change_weights_initialisation_mutated0_MP_variance_scaling_2,0.0000 (unreliable)
MM_deepfd016_change_weights_initialisation_mutated0_MP_zeros_1,0.0000 (unreliable)
MM_deepfd016_change_weights_initialisation_mutated0_MP_zeros_2,0.0000 (unreliable)
MM_deepfd016_delete_training_data_mutated0_MP_37.5,1.0000 (reliable)
MM_deepfd016_delete_training_data_mutated0_MP_56.25,0.5714 (reliable)
MM_deepfd016_delete_training_data_mutated0_MP_65.62,0.6250 (reliable)
MM_deepfd016_delete_training_data_mutated0_MP_70.31,0.5000 (reliable)
MM_deepfd016_delete_training_data_mutated0_MP_75,0.5000 (reliable)
MM_deepfd016_disable_batching_mutated0_MP,0.7872 (unreliable)
MM_deepfd016_make_output_classes_overlap_mutated0_MP_18.75,0.9091 (unreliable)
MM_deepfd016_make_output_classes_overlap_mutated0_MP_23.44,0.7273 (unreliable)
MM_deepfd016_make_output_classes_overlap_mutated0_MP_28.12,0.8000 (unreliable)
MM_deepfd016_make_output_classes_overlap_mutated0_MP_37.5,0.6875 (unreliable)
MM_deepfd016_make_output_classes_overlap_mutated0_MP_42.19,0.6000 (reliable)
MM_deepfd016_make_output_classes_overlap_mutated0_MP_46.88,0.5833 (reliable)
MM_deepfd016_make_output_classes_overlap_mutated0_MP_56.25,0.6429 (reliable)
MM_deepfd016_make_output_classes_overlap_mutated0_MP_75,0.7143 (unreliable)
MM_deepfd016_remove_activation_function_mutated0_MP_1,0.0000 (unreliable)
MM_deepfd016_remove_activation_function_mutated0_MP_2,0.5577 (reliable)
MM_deepfd016_remove_bias_mutated0_MP_1,0.9167 (unreliable)
MM_deepfd016_remove_bias_mutated0_MP_2,0.0000 (reliable)
MM_deepfd016_unbalance_train_data_mutated0_MP_37.5,0.6667 (reliable)
MM_deepfd016_unbalance_train_data_mutated0_MP_56.25,0.4000 (reliable)
MM_deepfd016_unbalance_train_data_mutated0_MP_65.62,0.5556 (reliable)
MM_deepfd016_unbalance_train_data_mutated0_MP_70.31,0.5000 (reliable)
MM_deepfd016_unbalance_train_data_mutated0_MP_75,0.6250 (reliable)
