,FM_deeplocalize010_faulty
MM_deeplocalize010_GF_0.01_1,0.0000 (unreliable)
MM_deeplocalize010_GF_0.1_1,0.0000 (unreliable)
MM_deeplocalize010_GF_0.2_1,0.0000 (unreliable)
MM_deeplocalize010_GF_0.6_1,0.0000 (unreliable)
MM_deeplocalize010_GF_1.0_1,0.0000 (unreliable)
MM_deeplocalize010_LA_0.01_1,0.0000 (reliable)
MM_deeplocalize010_LD_0.01_1,0.0000 (unreliable)
MM_deeplocalize010_LR_0.01_1,0.0000 (reliable)
MM_deeplocalize010_NAI_0.01_1,0.0000 (unreliable)
MM_deeplocalize010_NEB_0.01_1,0.0000 (unreliable)
MM_deeplocalize010_NEB_0.1_1,0.0000 (unreliable)
MM_deeplocalize010_NEB_0.2_1,0.0000 (unreliable)
MM_deeplocalize010_NS_0.01_1,0.0000 (unreliable)
MM_deeplocalize010_NS_0.1_1,0.0000 (unreliable)
MM_deeplocalize010_NS_0.2_1,0.0000 (unreliable)
MM_deeplocalize010_WS_0.01_1,0.0000 (unreliable)
MM_deeplocalize010_WS_0.2_1,0.0000 (reliable)
