,FM_defect4ml074_faulty
MM_defect4ml074_original0_GF_0.01_1,0.9767 (unreliable)
MM_defect4ml074_original0_LA_0.01_1,0.9706 (unreliable)
MM_defect4ml074_original0_NAI_0.01_1,0.9706 (unreliable)
MM_defect4ml074_original0_NEB_0.01_1,0.9744 (unreliable)
MM_defect4ml074_original1_GF_0.01_1,1.0000 (unreliable)
MM_defect4ml074_original1_LA_0.01_1,1.0000 (unreliable)
MM_defect4ml074_original1_NAI_0.01_1,1.0000 (unreliable)
MM_defect4ml074_original1_NEB_0.01_1,1.0000 (unreliable)
MM_defect4ml074_original1_NS_0.01_1,0.9800 (unreliable)
MM_defect4ml074_original1_WS_0.01_1,1.0000 (unreliable)
MM_defect4ml074_original2_GF_0.01_1,0.9787 (unreliable)
MM_defect4ml074_original2_LA_0.01_1,0.9767 (unreliable)
MM_defect4ml074_original2_NAI_0.01_1,0.9783 (unreliable)
MM_defect4ml074_original2_NEB_0.01_1,0.9778 (unreliable)
MM_defect4ml074_original2_NS_0.01_1,0.9800 (unreliable)
MM_defect4ml074_original2_WS_0.01_1,0.9800 (unreliable)
MM_defect4ml074_original3_GF_0.01_1,0.9783 (unreliable)
MM_defect4ml074_original3_LA_0.01_1,0.9783 (unreliable)
MM_defect4ml074_original3_NAI_0.01_1,0.9783 (unreliable)
MM_defect4ml074_original3_NEB_0.01_1,0.9783 (unreliable)
MM_defect4ml074_original4_GF_0.01_1,0.9800 (unreliable)
MM_defect4ml074_original4_LA_0.01_1,1.0000 (unreliable)
MM_defect4ml074_original4_NAI_0.01_1,1.0000 (unreliable)
MM_defect4ml074_original4_NEB_0.01_1,1.0000 (unreliable)
