,FM_cleanml001_faulty
MM_cleanml012_original0_GF_0.01_1,0.3019 (reliable)
MM_cleanml012_original0_LA_0.01_1,0.2194 (reliable)
MM_cleanml012_original0_NAI_0.01_1,0.2682 (reliable)
MM_cleanml012_original0_NEB_0.01_1,0.2759 (reliable)
MM_cleanml012_original0_NS_0.01_1,0.2355 (reliable)
MM_cleanml012_original0_WS_0.01_1,0.2174 (reliable)
MM_cleanml012_original1_GF_0.01_1,0.3241 (reliable)
MM_cleanml012_original1_LA_0.01_1,0.3077 (reliable)
MM_cleanml012_original1_NAI_0.01_1,0.3231 (reliable)
MM_cleanml012_original1_NEB_0.01_1,0.3893 (reliable)
MM_cleanml012_original1_NS_0.01_1,0.3644 (reliable)
MM_cleanml012_original1_WS_0.01_1,0.3333 (reliable)
MM_cleanml012_original2_GF_0.01_1,0.2468 (reliable)
MM_cleanml012_original2_LA_0.01_1,0.2268 (reliable)
MM_cleanml012_original2_NAI_0.01_1,0.2816 (reliable)
MM_cleanml012_original2_NEB_0.01_1,0.2878 (reliable)
MM_cleanml012_original2_NS_0.01_1,0.2558 (reliable)
MM_cleanml012_original2_WS_0.01_1,0.2211 (reliable)
MM_cleanml012_original3_GF_0.01_1,0.2819 (reliable)
MM_cleanml012_original3_LA_0.01_1,0.0575 (reliable)
MM_cleanml012_original3_NAI_0.01_1,0.2612 (reliable)
MM_cleanml012_original3_NEB_0.01_1,0.2741 (reliable)
MM_cleanml012_original3_NS_0.01_1,0.2621 (reliable)
MM_cleanml012_original3_WS_0.01_1,0.3022 (reliable)
MM_cleanml012_original4_GF_0.01_1,0.5468 (reliable)
MM_cleanml012_original4_LA_0.01_1,0.0506 (unreliable)
MM_cleanml012_original4_NAI_0.01_1,0.4094 (reliable)
MM_cleanml012_original4_NEB_0.01_1,0.3138 (reliable)
MM_cleanml012_original4_NS_0.01_1,0.4543 (reliable)
MM_cleanml012_original4_WS_0.01_1,0.5722 (reliable)
