,FM_cleanml011_faulty
MM_cleanml011_original0_GF_0.01_1,0.1061 (reliable)
MM_cleanml011_original0_LA_0.01_1,0.0391 (reliable)
MM_cleanml011_original0_NAI_0.01_1,0.1406 (reliable)
MM_cleanml011_original0_NEB_0.01_1,0.0929 (reliable)
MM_cleanml011_original0_NS_0.01_1,0.1073 (reliable)
MM_cleanml011_original0_WS_0.01_1,0.1240 (reliable)
MM_cleanml011_original1_GF_0.01_1,0.1281 (reliable)
MM_cleanml011_original1_LA_0.01_1,0.0222 (reliable)
MM_cleanml011_original1_NAI_0.01_1,0.0855 (reliable)
MM_cleanml011_original1_NEB_0.01_1,0.1111 (reliable)
MM_cleanml011_original1_NS_0.01_1,0.1068 (reliable)
MM_cleanml011_original1_WS_0.01_1,0.2015 (reliable)
MM_cleanml011_original2_GF_0.01_1,0.0729 (reliable)
MM_cleanml011_original2_LA_0.01_1,0.0219 (reliable)
MM_cleanml011_original2_NAI_0.01_1,0.1041 (reliable)
MM_cleanml011_original2_NEB_0.01_1,0.0914 (reliable)
MM_cleanml011_original2_NS_0.01_1,0.0888 (reliable)
MM_cleanml011_original2_WS_0.01_1,0.0968 (reliable)
MM_cleanml011_original3_GF_0.01_1,0.1682 (reliable)
MM_cleanml011_original3_LA_0.01_1,0.0203 (unreliable)
MM_cleanml011_original3_NAI_0.01_1,0.0726 (reliable)
MM_cleanml011_original3_NEB_0.01_1,0.2544 (reliable)
MM_cleanml011_original3_NS_0.01_1,0.1155 (reliable)
MM_cleanml011_original3_WS_0.01_1,0.2613 (reliable)
MM_cleanml011_original4_GF_0.01_1,0.2391 (reliable)
MM_cleanml011_original4_LA_0.01_1,0.2961 (reliable)
MM_cleanml011_original4_NAI_0.01_1,0.1796 (reliable)
MM_cleanml011_original4_NS_0.01_1,0.2000 (reliable)
MM_cleanml011_original4_WS_0.01_1,0.1875 (reliable)
