,FM_defect4ml038_faulty
MM_defect4ml038_add_noise_mutated0_MP_100,0.4000 (unreliable)
MM_defect4ml038_add_weights_regularisation_mutated0_MP_l1_1,0.4000 (unreliable)
MM_defect4ml038_add_weights_regularisation_mutated0_MP_l1_2,0.3077 (unreliable)
MM_defect4ml038_add_weights_regularisation_mutated0_MP_l1_3,0.6667 (unreliable)
MM_defect4ml038_add_weights_regularisation_mutated0_MP_l1_l2_1,0.0000 (unreliable)
MM_defect4ml038_add_weights_regularisation_mutated0_MP_l1_l2_2,0.6400 (unreliable)
MM_defect4ml038_add_weights_regularisation_mutated0_MP_l1_l2_3,0.5714 (unreliable)
MM_defect4ml038_add_weights_regularisation_mutated0_MP_l2_1,1.0000 (unreliable)
MM_defect4ml038_add_weights_regularisation_mutated0_MP_l2_2,0.5882 (unreliable)
MM_defect4ml038_add_weights_regularisation_mutated0_MP_l2_3,0.4167 (unreliable)
MM_defect4ml038_change_activation_function_mutated0_MP_elu_1,0.0000 (unreliable)
MM_defect4ml038_change_activation_function_mutated0_MP_elu_2,0.0000 (unreliable)
MM_defect4ml038_change_activation_function_mutated0_MP_elu_3,0.8058 (unreliable)
MM_defect4ml038_change_activation_function_mutated0_MP_exponential_1,1.0000 (unreliable)
MM_defect4ml038_change_activation_function_mutated0_MP_exponential_2,0.4000 (unreliable)
MM_defect4ml038_change_activation_function_mutated0_MP_exponential_3,0.8396 (unreliable)
MM_defect4ml038_change_activation_function_mutated0_MP_hard_sigmoid_1,0.6875 (unreliable)
MM_defect4ml038_change_activation_function_mutated0_MP_hard_sigmoid_2,0.4762 (unreliable)
MM_defect4ml038_change_activation_function_mutated0_MP_hard_sigmoid_3,1.0000 (unreliable)
MM_defect4ml038_change_activation_function_mutated0_MP_linear_1,0.0000 (unreliable)
MM_defect4ml038_change_activation_function_mutated0_MP_linear_2,0.0000 (unreliable)
MM_defect4ml038_change_activation_function_mutated0_MP_linear_3,0.8412 (unreliable)
MM_defect4ml038_change_activation_function_mutated0_MP_relu_1,0.4444 (unreliable)
MM_defect4ml038_change_activation_function_mutated0_MP_relu_2,0.5714 (unreliable)
MM_defect4ml038_change_activation_function_mutated0_MP_relu_3,0.6000 (unreliable)
