,FM_deepfd015_faulty
MM_deepfd015_add_activation_function_mutated0_MP_None_1,0.9792 (reliable)
MM_deepfd015_add_activation_function_mutated0_MP_None_3,0.9966 (reliable)
MM_deepfd015_add_noise_mutated0_MP_100,0.9954 (reliable)
MM_deepfd015_add_noise_mutated0_MP_25.0,0.9820 (reliable)
MM_deepfd015_add_noise_mutated0_MP_37.5,0.9911 (reliable)
MM_deepfd015_add_noise_mutated0_MP_43.75,0.9944 (reliable)
MM_deepfd015_add_noise_mutated0_MP_46.88,0.9964 (reliable)
MM_deepfd015_add_noise_mutated0_MP_50.0,0.9872 (reliable)
MM_deepfd015_add_noise_mutated0_MP_75.0,0.9954 (reliable)
MM_deepfd015_add_noise_mutated0_MP_81.25,0.9981 (reliable)
MM_deepfd015_add_noise_mutated0_MP_84.38,0.9964 (reliable)
MM_deepfd015_add_noise_mutated0_MP_87.5,0.9929 (reliable)
MM_deepfd015_add_weights_regularisation_mutated0_MP_l1_1,0.9309 (reliable)
MM_deepfd015_add_weights_regularisation_mutated0_MP_l1_3,0.9595 (reliable)
MM_deepfd015_add_weights_regularisation_mutated0_MP_l1_6,0.9620 (reliable)
MM_deepfd015_add_weights_regularisation_mutated0_MP_l1_7,0.9421 (reliable)
MM_deepfd015_add_weights_regularisation_mutated0_MP_l1_l2_1,0.9536 (reliable)
MM_deepfd015_add_weights_regularisation_mutated0_MP_l1_l2_3,0.9403 (reliable)
MM_deepfd015_add_weights_regularisation_mutated0_MP_l1_l2_6,0.9149 (reliable)
MM_deepfd015_add_weights_regularisation_mutated0_MP_l1_l2_7,0.9433 (reliable)
MM_deepfd015_add_weights_regularisation_mutated0_MP_l2_1,0.9385 (reliable)
MM_deepfd015_add_weights_regularisation_mutated0_MP_l2_3,0.9464 (reliable)
MM_deepfd015_add_weights_regularisation_mutated0_MP_l2_6,0.9373 (reliable)
MM_deepfd015_add_weights_regularisation_mutated0_MP_l2_7,0.8941 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_elu_6,0.9897 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_elu_7,0.9444 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_exponential_6,0.9958 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_exponential_7,0.9129 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_hard_sigmoid_6,0.9295 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_hard_sigmoid_7,1.0000 (unreliable)
MM_deepfd015_change_activation_function_mutated0_MP_linear_6,0.9400 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_linear_7,0.8737 (unreliable)
MM_deepfd015_change_activation_function_mutated0_MP_relu_6,0.9844 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_relu_7,0.9770 (unreliable)
MM_deepfd015_change_activation_function_mutated0_MP_selu_6,0.9820 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_selu_7,0.9282 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_sigmoid_6,0.9109 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_sigmoid_7,0.9810 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_softmax_6,0.9926 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_softmax_7,0.9080 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_softplus_6,0.9880 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_softplus_7,0.9007 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_softsign_6,0.9359 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_softsign_7,0.9158 (unreliable)
MM_deepfd015_change_activation_function_mutated0_MP_tanh_6,0.9299 (reliable)
MM_deepfd015_change_activation_function_mutated0_MP_tanh_7,0.9305 (reliable)
MM_deepfd015_change_batch_size_mutated0_MP_100_100,0.9946 (reliable)
MM_deepfd015_change_batch_size_mutated0_MP_400_400,0.9470 (reliable)
MM_deepfd015_change_batch_size_mutated0_MP_50_50,0.9981 (reliable)
MM_deepfd015_change_batch_size_mutated0_MP_800_800,0.9510 (reliable)
MM_deepfd015_change_epochs_mutated0_MP_1,0.9417 (reliable)
MM_deepfd015_change_epochs_mutated0_MP_6,0.9151 (reliable)
MM_deepfd015_change_epochs_mutated0_MP_7,0.9521 (reliable)
MM_deepfd015_change_epochs_mutated0_MP_8,0.9548 (reliable)
MM_deepfd015_change_label_mutated0_MP_100,0.9970 (reliable)
MM_deepfd015_change_label_mutated0_MP_12.5,0.9323 (reliable)
MM_deepfd015_change_label_mutated0_MP_18.75,0.9517 (reliable)
MM_deepfd015_change_label_mutated0_MP_21.88,0.9313 (reliable)
MM_deepfd015_change_label_mutated0_MP_25.0,0.9612 (reliable)
MM_deepfd015_change_label_mutated0_MP_28.12,0.9360 (reliable)
MM_deepfd015_change_label_mutated0_MP_31.25,0.9366 (reliable)
MM_deepfd015_change_label_mutated0_MP_37.5,0.9729 (reliable)
MM_deepfd015_change_label_mutated0_MP_50.0,0.9557 (reliable)
MM_deepfd015_change_learning_rate_mutated0_MP_False_0.0001,0.9368 (reliable)
MM_deepfd015_change_learning_rate_mutated0_MP_False_0.0003,0.9286 (reliable)
MM_deepfd015_change_learning_rate_mutated0_MP_False_0.0004,0.9502 (reliable)
MM_deepfd015_change_learning_rate_mutated0_MP_False_0.0005,0.9075 (reliable)
MM_deepfd015_change_learning_rate_mutated0_MP_False_0.0006,0.9315 (reliable)
MM_deepfd015_change_learning_rate_mutated0_MP_False_0.0007,0.9705 (reliable)
MM_deepfd015_change_learning_rate_mutated0_MP_False_0.0008,0.9716 (reliable)
MM_deepfd015_change_loss_function_mutated0_MP_categorical_hinge,0.9084 (reliable)
MM_deepfd015_change_loss_function_mutated0_MP_hinge,1.0000 (unreliable)
MM_deepfd015_change_loss_function_mutated0_MP_huber_loss,1.0000 (unreliable)
MM_deepfd015_change_loss_function_mutated0_MP_kullback_leibler_divergence,1.0000 (unreliable)
MM_deepfd015_change_loss_function_mutated0_MP_logcosh,1.0000 (unreliable)
MM_deepfd015_change_loss_function_mutated0_MP_mean_absolute_error,1.0000 (unreliable)
MM_deepfd015_change_loss_function_mutated0_MP_mean_absolute_percentage_error,0.9154 (reliable)
MM_deepfd015_change_loss_function_mutated0_MP_mean_squared_error,0.9997 (unreliable)
MM_deepfd015_change_loss_function_mutated0_MP_mean_squared_logarithmic_error,0.9998 (unreliable)
MM_deepfd015_change_loss_function_mutated0_MP_poisson,0.9994 (unreliable)
MM_deepfd015_change_loss_function_mutated0_MP_squared_hinge,0.9550 (reliable)
MM_deepfd015_change_optimisation_function_mutated0_MP_adadelta,0.9780 (reliable)
MM_deepfd015_change_optimisation_function_mutated0_MP_adagrad,0.9734 (reliable)
MM_deepfd015_change_optimisation_function_mutated0_MP_adamax,0.9464 (reliable)
MM_deepfd015_change_optimisation_function_mutated0_MP_nadam,0.9861 (reliable)
MM_deepfd015_change_optimisation_function_mutated0_MP_rmsprop,0.9931 (reliable)
MM_deepfd015_change_optimisation_function_mutated0_MP_sgd,0.9757 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_constant_1,0.9920 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_constant_3,0.9913 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_constant_6,0.9899 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_constant_7,0.9320 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_glorot_normal_1,0.9922 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_glorot_normal_3,0.9961 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_glorot_normal_6,0.9922 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_glorot_normal_7,0.9885 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_glorot_uniform_1,0.9771 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_glorot_uniform_3,0.9821 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_glorot_uniform_6,0.9952 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_glorot_uniform_7,0.9922 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_he_normal_1,0.9900 (reliable)
MM_deepfd015_change_weights_initialisation_mutated0_MP_he_normal_3,0.9914 (reliable)
