,FM_deeplocalize038_faulty
MM_deeplocalize038_GF_0.01_1,1.0
MM_deeplocalize038_GF_0.1_1,0.41758241758241765
MM_deeplocalize038_GF_0.2_1,0.4423791821561338
MM_deeplocalize038_GF_0.6_1,0.2712418300653595
MM_deeplocalize038_GF_1.0_1,0.28975265017667845
MM_deeplocalize038_LA_0.01_1,0.0
MM_deeplocalize038_NAI_0.01_1,0.0
MM_deeplocalize038_NAI_0.1_1,1.0
MM_deeplocalize038_NEB_0.01_1,1.0
MM_deeplocalize038_NS_0.01_1,0.0
MM_deeplocalize038_NS_0.1_1,0.7151898734177217
MM_deeplocalize038_NS_0.2_1,0.5016835016835016
MM_deeplocalize038_WS_0.01_1,1.0
