,FM_deepfd030_faulty
MM_deepfd030_GF_0.01_1,0.0000 (unreliable)
MM_deepfd030_GF_0.1_1,0.7500 (reliable)
MM_deepfd030_GF_0.2_1,0.5294 (reliable)
MM_deepfd030_GF_0.6_1,0.5091 (reliable)
MM_deepfd030_GF_1.0_1,0.8065 (reliable)
MM_deepfd030_LA_0.01_1,0.0000 (reliable)
MM_deepfd030_NAI_0.01_1,0.0000 (reliable)
MM_deepfd030_NAI_0.1_1,0.0000 (reliable)
MM_deepfd030_NEB_0.01_1,0.0000 (unreliable)
MM_deepfd030_NEB_0.1_1,0.5556 (reliable)
MM_deepfd030_NS_0.01_1,0.3333 (reliable)
MM_deepfd030_WS_0.01_1,0.0000 (reliable)
MM_deepfd030_WS_0.1_1,0.2632 (reliable)
